record_key,name,sort_name,name_latin,name_variants,entry_kind,born,died,dates_display,roles,role_groups,era,seat,seat_lat,seat_lon,seat_basis,letters_sent,letters_received,epistolarium_keys,hven_visits,itinerary_stays,objects,viaf,sources
COR_HEINRICH_BRUCAEUS,Heinrich Brucaeus,"Brucaeus, Heinrich",,,person,1530,1593,,astronomer; correspondent,Scientific peers and rivals; Correspondents only,contemporary,Rostock,54.089,12.14,Rostock physician-mathematician,14,3,Heinrich Brucaeus,0,3,0,,S_EPISTOLARIUM
COR_GEORGE_BUCHANAN,George Buchanan,"Buchanan, George",,,person,,,,correspondent,Correspondents only,contemporary,Edinburgh,55.953,-3.188,"Scottish humanist, tutor to James VI",1,0,George Buchanan,0,0,0,,S_EPISTOLARIUM
COR_DANIEL_BUCRETIUS,Daniel Bucretius,"Bucretius, Daniel",,,person,,,,correspondent,Correspondents only,contemporary,,,,,0,1,Daniel Bucretius,0,0,0,,S_EPISTOLARIUM
COR_JOACHIM_CAMERARIUS,Joachim Camerarius,"Camerarius, Joachim",,Joachim Camerarius the Younger,person,,,,correspondent,Correspondents only,contemporary,Nuremberg,49.452,11.077,Nuremberg physician-humanist,0,2,Joachim Camerarius,0,2,0,,S_EPISTOLARIUM
COR_BALTHASAR_CAMINAEUS,Balthasar Caminaeus,"Caminaeus, Balthasar",,,person,,,,correspondent,Correspondents only,contemporary,,,,,1,0,Balthasar Caminaeus,0,0,0,,S_EPISTOLARIUM
COR_JOHANNES_CASELIUS,Johannes Caselius,"Caselius, Johannes",,,person,,,,correspondent,Correspondents only,contemporary,,,,,1,0,Johannes Caselius,0,0,0,,S_EPISTOLARIUM
COR_OTTAVIO_CAURIAN,Ottavio Caurian,"Caurian, Ottavio",,,person,,,,correspondent,Correspondents only,contemporary,,,,,1,0,Ottavio Caurian,0,0,0,,S_EPISTOLARIUM
COR_ANDERS_CHRISTENSEN,Anders Christensen,"Christensen, Anders",,,person,,,,correspondent,Correspondents only,contemporary,,,,,0,1,Anders Christensen,0,1,0,,S_FRIIS1875; S_EPISTOLARIUM
COR_CHRISTIAN_II_ELECTOR_OF_,"Christian II, Elector of Saxony","Christian II, Elector of Saxony",,,person,,,,correspondent,Correspondents only,contemporary,,,,,0,1,"Christian II, Elector of Saxony",0,1,0,,S_EPISTOLARIUM
CHR4,"Christian IV, King of Denmark","Christian IV, King of Denmark",,"Christian 4.; Christian IV; Prince Christian (later Christian IV); Christian IV (minor, under regents); Crown prince Christian (IV); Christian (IV), king-elect; King Christian IV; Christian IV of Denmark",person,1577,1648,,patron; dedicatee; correspondent,Patrons and dedicatees; Correspondents only,contemporary,Copenhagen,55.676,12.568,King of Denmark,9,5,Christian 4.,5,11,6,71427706,S_DREYER; S_CROSSROADS; S_THESAURUS; S_EPISTOLARIUM
COR_DAVID_CHYTRAEUS,David Chytraeus,"Chytraeus, David",,,person,,,,correspondent,Correspondents only,contemporary,,,,,2,1,David Chytraeus,0,2,0,,S_EPISTOLARIUM
COR_RAPHAEL_CIAPERENIUS,Raphael Ciaperenius,"Ciaperenius, Raphael",,,person,,,,correspondent,Correspondents only,contemporary,,,,,0,1,Raphael Ciaperenius,0,0,0,,S_EPISTOLARIUM
COR_COSIMO_CONCINI,Cosimo Concini,"Concini, Cosimo",,,person,,,,correspondent,Correspondents only,contemporary,,,,,0,2,Cosimo Concini,0,0,0,,S_EPISTOLARIUM
COR_REKTOR_OG_PROFESSORER_VE,The Rector and Professors of the University of Copenhagen,"Copenhagen, University of (Rector and Professors)",,Rektor ved Københavns Universitet; Rektor og professorer ved Københavns Universitet; Rektor og professorerne ved Københavns Universitet,body,,,,correspondent,Correspondents only,contemporary,,,,,1,5,Rektor og professorerne ved Københavns Universitet; Rektor ved Københavns Universitet; Rektor og professorer ved Københavns Universitet,0,0,0,,S_EPISTOLARIUM
CORRADUZ,Rudolf Coraduz (Corraducius),"Coraduz, Rudolf (Corraducius)",,"Rudolf Coraduz; Rudolf Corraduc; Rudolf Corraducius; Rudolf von Coraduz (Coraducius); Rudolf Corraduz; Rudolf Corraduz (Corraducius), Imperial Vice-Chancellor",person,,1606,,patron; dedicatee; correspondent,Patrons and dedicatees; Correspondents only,contemporary,Prague,50.075,14.438,"Imperial Vice-Chancellor, Prague",1,2,Rudolf Coraduz,0,3,2,,S_DREYER; S_MOSLEY; S_THESAURUS; S_EPISTOLARIUM
CRAIG,John Craig,"Craig, John",,,person,,,,antagonist,Scientific peers and rivals,contemporary,Edinburgh,55.953,-3.188,Edinburgh physician,7,2,John Craig,0,0,2,,S_THESAURUS; S_EPISTOLARIUM
COR_THOMAS_CRAIG,Thomas Craig,"Craig, Thomas",,,person,,,,correspondent,Correspondents only,contemporary,Edinburgh,55.953,-3.188,Scottish jurist,1,1,Thomas Craig,0,0,0,,S_EPISTOLARIUM
COR_DANIEL_CRAMER,Daniel Cramer,"Cramer, Daniel",,,person,,,,correspondent,Correspondents only,contemporary,,,,,2,2,Daniel Cramer,0,0,0,,S_EPISTOLARIUM
COR_CHARLES_DE_DANÇAY,Charles de Dançay,"Dançay, Charles de",,Charles de Dancey; Charles de Dancay,person,,,,correspondent,Correspondents only,contemporary,Copenhagen,55.676,12.568,French ambassador to Denmark,3,2,Charles de Dançay,0,5,1,,S_EPISTOLARIUM
COR_HARTWIG_VON_DASSEL,Hartwig von Dassel,"Dassel, Hartwig von",,,person,,,,correspondent,Correspondents only,contemporary,,,,,2,0,Hartwig von Dassel,0,0,0,,S_EPISTOLARIUM
DREYER_J,J. L. E. Dreyer,"Dreyer, J. L. E.",,,person,1852,1926,,scholar; editor; source,"Editors, owners and scholars",afterlife,Copenhagen,55.676,12.568,Danish-born astronomer and biographer,0,0,,0,0,0,,S_THESAURUS
COR_HEINRICH_ELLENBERGER,Heinrich Ellenberger,"Ellenberger, Heinrich",,,person,,,,correspondent,Correspondents only,contemporary,,,,,1,0,Heinrich Ellenberger,0,0,0,,S_EPISTOLARIUM
COR_ERNST_KURFYRSTE_ÆRKEBISK,"Ernst of Bavaria, Archbishop-Elector of Cologne","Ernst of Bavaria, Archbishop-Elector of Cologne",,"Ernst, Elector-Archbishop of Cologne; Ernst, kurfyrste, ærkebiskop af Köln",person,,,,correspondent,Correspondents only,contemporary,Cologne,50.937,6.96,Archbishop-Elector of Cologne,4,0,"Ernst, kurfyrste, ærkebiskop af Köln",0,1,0,,S_EPISTOLARIUM
COR_DAVID_FABRICIUS,David Fabricius,"Fabricius, David",,,person,,,,correspondent,Correspondents only,contemporary,Aurich,53.47,7.48,Frisian pastor-astronomer,1,0,David Fabricius,0,2,0,,S_EPISTOLARIUM
COR_DANIEL_FELS,Daniel Fels,"Fels, Daniel",,,person,,,,correspondent,Correspondents only,contemporary,,,,,1,0,Daniel Fels,0,2,0,,S_EPISTOLARIUM
COR_FERDINANDO_I_DE_MEDICI,Ferdinando I de' Medici,Ferdinando I de' Medici,,Ferdinando de' Medici; Fernando de' Medici,person,,,,correspondent,Correspondents only,contemporary,Florence,43.77,11.256,Grand Duke of Tuscany,1,4,Ferdinando I de' Medici,0,0,0,,S_EPISTOLARIUM
COR_TOBIAS_FISCHER,Tobias Fischer,"Fischer, Tobias",,,person,,,,correspondent,Correspondents only,contemporary,,,,,1,1,Tobias Fischer,0,0,0,,S_EPISTOLARIUM
FLEMLOES,Peder Jacobsen Flemløs,"Flemløs, Peder Jacobsen",,Peter Jacobsen Flemlose; Peder Jakobsen Flemlose; Peder Jacobsen Flemløse,person,1554,1598,,assistant; author,Observers and assistants; Correspondents only,contemporary,Hven,55.907,12.696,Uraniborg assistant,0,0,,0,5,2,,S_CHRISTIANSON; S_NIELSEN1921; S_THESAURUS
COR_WOLFGANG_FRANZIUS,Wolfgang Franzius,"Franzius, Wolfgang",,,person,,,,correspondent,Correspondents only,contemporary,,,,,1,1,Wolfgang Franzius,0,0,0,,S_EPISTOLARIUM
COR_FREDERIK_2,"Frederik II, King of Denmark","Frederik II, King of Denmark",,Frederick II; Frederik II; King Frederik II; Frederik 2.,person,,,,correspondent,Correspondents only,contemporary,Copenhagen,55.676,12.568,"King of Denmark, Tycho's patron",3,0,Frederik 2.,0,15,12,,S_EPISTOLARIUM
COR_CHRISTIAN_FRIIS,Christian Friis,"Friis, Christian",,Christian Friis of Borreby,person,,,,correspondent,Correspondents only,contemporary,,,,,1,2,"Christian Friis; Christoffer Valkendorf, Christian Friis",0,4,0,,S_EPISTOLARIUM
FRIIS,F. R. Friis,"Friis, F. R.",,,person,1836,1910,,scholar; source,"Editors, owners and scholars",afterlife,Copenhagen,55.676,12.568,Danish scholar,0,0,,0,0,0,,S_DREYER; S_DBL; S_THESAURUS
FROBENIUS,Georg Ludwig Frobenius,"Frobenius, Georg Ludwig",,,person,1566,1645,,mathematician; bookseller; author,Scientific peers and rivals; The book trade; Correspondents only,contemporary,Hamburg,53.55,9.99,Hamburg mathematician and bookseller,0,0,,0,5,2,,S_CHRISTIANSON; S_THESAURUS
FROM,Jørgen From,"From, Jørgen",,,person,,1651,,owner,"Editors, owners and scholars",afterlife,,,,,0,0,,0,0,0,,S_CHRISTIANSON; S_THESAURUS
COR_GALILEO_GALILEI,Galileo Galilei,"Galilei, Galileo",,,person,,,,correspondent,Correspondents only,contemporary,Padua,45.406,11.876,professor at Padua,0,1,Galileo Galilei,0,0,0,,S_EPISTOLARIUM
GASCHITZ,Hans Gaschitz,"Gaschitz, Hans",,,person,,,,printer,The book trade,contemporary,,,,,0,0,,0,0,2,,S_NIELSEN1921; S_THESAURUS
FAM_TOBIAS_GEMPERLIN,Tobias Gemperlin,"Gemperlin, Tobias",,Tobias Gemperlin (Gemperle); Tobias Gemperle,person,,,,craftsman,Builders and craftsmen,contemporary,Hven,55.907,12.696,court painter on Hven,0,0,,0,3,1,,S_CHRISTIANSON; S_JERN; S_BECKETT; S_DEMUNDI
COR_JOHANN_GEORG_GÖDELMANN,Johann Georg Gödelmann,"Gödelmann, Johann Georg",,,person,,,,correspondent,Correspondents only,contemporary,,,,,1,0,Johann Georg Gödelmann,0,0,0,,S_EPISTOLARIUM
COR_PATRICK_GORDON,Patrick Gordon,"Gordon, Patrick",,,person,,,,correspondent,Correspondents only,contemporary,,,,,1,0,Patrick Gordon,0,0,0,,S_EPISTOLARIUM
COR_JACOB_GRYNAEUS,Jacob Grynaeus,"Grynaeus, Jacob",,,person,,,,correspondent,Correspondents only,contemporary,,,,,0,1,Jacob Grynaeus,0,0,0,,S_EPISTOLARIUM
COR_AXEL_GYLDENSTIERNE,Axel Gyldenstierne,"Gyldenstierne, Axel",,,person,,,,correspondent,Correspondents only,contemporary,,,,,1,1,Axel Gyldenstierne,3,0,0,,S_EPISTOLARIUM
COR_THADDAEUS_HAGECIUS,Thaddaeus Hagecius,"Hagecius, Thaddaeus (Hájek)",Thaddaeus Hagecius ab Hayek,Thaddaeus Hagecius (Tadeas Hajek); Thaddaeus Hagecius (Hájek); Tadeáš Hájek,person,1526,1600,,astronomer; patron; correspondent,Scientific peers and rivals; Patrons and dedicatees; Correspondents only,contemporary,Prague,50.075,14.438,"imperial court physician, Prague",16,21,Thaddaeus Hagecius,0,5,1,,S_EPISTOLARIUM
COR_PAUL_HAINZEL,Paul Hainzel,"Hainzel, Paul",,,person,,,,correspondent,Correspondents only,contemporary,Augsburg,48.37,10.898,Augsburg patrician; the great quadrant,3,0,Paul Hainzel,0,3,0,,S_EPISTOLARIUM
COR_SUSANNE_HÁJEK,Susanne Hájek,"Hájek, Susanne",,,person,,,,correspondent,Correspondents only,contemporary,,,,,0,1,Susanne Hájek,0,0,0,,S_EPISTOLARIUM
COR_CHRISTINA_VON_HALLE,Christina von Halle,"Halle, Christina von",,,person,,,,correspondent,Correspondents only,contemporary,,,,,0,1,Christina von Halle,0,0,0,,S_EPISTOLARIUM
COR_BORGMESTRE_OG_RÅD_I_HAMB,The Mayors and Council of Hamburg,"Hamburg, Mayors and Council of",,Borgmestre og råd i Hamborg,body,,,,correspondent,Correspondents only,contemporary,,,,,0,1,Borgmestre og råd i Hamborg,0,0,0,,S_EPISTOLARIUM
HANS,"Hans, Prince of Denmark","Hans, Prince of Denmark",,Duke Hans (Hans the Younger); Duke Hans,person,1583,1602,,subject,Patrons and dedicatees,contemporary,,,,,0,0,,0,0,2,,S_CROSSROADS; S_GIGAS; S_THESAURUS
COR_NIELS_HEMMINGSEN,Niels Hemmingsen,"Hemmingsen, Niels",,,person,,,,correspondent,Correspondents only,contemporary,,,,,1,0,Niels Hemmingsen,0,2,0,,S_EPISTOLARIUM
COR_CHRISTOPHORUS_HENNIOCHUS,Christophorus Henniochus,"Henniochus, Christophorus",,Cristophorus Henniochus,person,,,,correspondent,Correspondents only,contemporary,,,,,2,1,Christophorus Henniochus; Cristophorus Henniochus,0,0,0,,S_EPISTOLARIUM
COR_JOHANN_GEORG_HERWART_VON,Johann Georg Herwart von Hohenburg,"Herwart von Hohenburg, Johann Georg",,Hans Georg Herwart von Hohenburg,person,1553,1622,,patron; correspondent,Patrons and dedicatees; Correspondents only,contemporary,Munich,48.135,11.582,Bavarian chancellor,13,4,Johann Georg Herwart von Hohenburg,0,0,0,,S_EPISTOLARIUM
COR_JOHANN_FRIEDRICH_HOFFMAN,Johann Friedrich Hoffmann,"Hoffmann, Johann Friedrich",,Baron Johann Friedrich Hoffmann; Baron Johann Hoffmann,person,,,,correspondent,Correspondents only,contemporary,,,,,1,3,Johann Friedrich Hoffmann,0,3,0,,S_EPISTOLARIUM
HULSIUS,Levinus Hülsius,"Hülsius, Levinus",,,person,,,,publisher,The book trade,contemporary,Frankfurt,50.111,8.682,Frankfurt/Nuremberg publisher,0,0,,0,0,2,,S_NIELSEN1921; S_THESAURUS
COR_MADS_JØRGENSEN_HUUS,Mads Jørgensen Huus,"Huus, Mads Jørgensen",,,person,,,,correspondent,Correspondents only,contemporary,,,,,1,0,Mads Jørgensen Huus,0,0,0,,S_EPISTOLARIUM
FAM_JENS_JENSEN_HVEN,Jens Jensen,"Jensen, Jens",,Jens Jensen Wensøsil; Jens Jensen Wensosil,person,,,,associate,Scientific peers and rivals,contemporary,,,,,0,0,,0,4,0,,S_KB_BREVBOGER
COR_JOHANNES_JESSENIUS,Johannes Jessenius,"Jessenius, Johannes",,Johannes Jessenius a Jessen; Johannes Jessenius (Jan Jesenský),person,,,,correspondent,Correspondents only,contemporary,Prague,50.075,14.438,anatomist at Prague/Wittenberg,1,3,Johannes Jessenius; Johannes Jessenius a Jessen,0,5,0,,S_EPISTOLARIUM
COR_JOACHIM_FRIEDRICH_KURFYR,"Joachim Friedrich, Elector of Brandenburg","Joachim Friedrich, Elector of Brandenburg",,"Joachim Friedrich; Joachim Frederick, Margrave of Brandenburg; Joachim Friedrich, kurfyrste af Brandenburg",person,,,,correspondent,Correspondents only,contemporary,Brandenburg,52.398,13.066,Elector of Brandenburg,2,1,"Joachim Friedrich, kurfyrste af Brandenburg",0,1,0,,S_EPISTOLARIUM
JOHANNADOLF,"Johann Adolf, Bishop of Lübeck","Johann Adolf, Bishop of Lübeck",,,person,1575,1616,,dedicatee,Patrons and dedicatees,contemporary,Lübeck,53.866,10.687,Bishop of Lübeck,0,0,,0,0,1,,S_GIGAS; S_THESAURUS
COR_MELCHIOR_JÖSTELIUS,Melchior Jöstelius,"Jöstelius, Melchior",,,person,,,,correspondent,Correspondents only,contemporary,,,,,0,4,Melchior Jöstelius,0,1,0,,S_EPISTOLARIUM
FAM_CHRISTEN_JYDE,Christen Jyde,"Jyde, Christen",,,person,,,,associate,Scientific peers and rivals,contemporary,,,,,0,0,,0,0,0,,S_FRIIS1875
COR_KATHARINA_KURFYRSTINDE_A,"Katharina, Electress of Brandenburg","Katharina, Electress of Brandenburg",,"Catherine, Margravine of Brandenburg-Küstrin; Katharina, kurfyrstinde af Brandenburg",person,,,,correspondent,Correspondents only,contemporary,Brandenburg,52.398,13.066,Electress of Brandenburg,2,0,"Katharina, kurfyrstinde af Brandenburg",0,1,0,,S_EPISTOLARIUM
KEPLER,Johannes Kepler,"Kepler, Johannes",,,person,1571,1630,,associate,Scientific peers and rivals,contemporary,Prague,50.075,14.438,"joined Tycho in Bohemia, 1600",5,5,Johannes Kepler,0,5,4,,S_THESAURUS; S_EPISTOLARIUM
FAM_HANS_KNIEPER,Hans Knieper,"Knieper, Hans",,,person,,1587,,craftsman,Builders and craftsmen,contemporary,,,,,0,0,,0,0,1,,S_BECKETT
COR_METTE_KOTTE,Mette Kotte,"Kotte, Mette",,,person,,,,correspondent,Correspondents only,contemporary,,,,,0,1,Mette Kotte,0,0,0,,S_EPISTOLARIUM
COR_NIELS_KRAG,Niels Krag,"Krag, Niels",,,person,,,,correspondent,Correspondents only,contemporary,,,,,1,3,Niels Krag,6,4,1,,S_EPISTOLARIUM
COR_JACOB_KURZ,Jacob Kurz,"Kurz, Jacob",,Jacob Kurz von Senftenau (Curtius),person,,,,correspondent,Correspondents only,contemporary,,,,,1,3,Jacob Kurz,0,1,0,,S_EPISTOLARIUM
FAM_GEORG_LABENWOLF,Georg Labenwolf,"Labenwolf, Georg",,,person,,,,craftsman,Builders and craftsmen,contemporary,Nuremberg,49.452,11.077,Nuremberg founder; Uraniborg's water-system,0,0,,0,2,0,,S_JERN; S_BECKETT
FAM_ERIK_LANGE,Erik Lange,"Lange, Erik",Ericus Langius,,person,,1613,,friend; family,Family and friends,contemporary,Engelsholm,55.726,9.418,"alchemist; Sophie Brahe's husband, his Jutland seat",0,0,,11,3,4,,S_ELLEFSEN; S_ZEEBERG1994
COR_KIRSTEN_LINDENOV,Kirsten Lindenov,"Lindenov, Kirsten",,Kirsten Lindenow,person,,,,correspondent,Correspondents only,contemporary,,,,,0,1,Kirsten Lindenov,0,1,0,,S_EPISTOLARIUM
LOCHNER,Christoph Lochner,"Lochner, Christoph",,,person,,,,printer,The book trade,contemporary,Nuremberg,49.452,11.077,Nuremberg printer (posthumous re-issues),0,0,,0,0,1,,S_NIELSEN1921; S_THESAURUS
LONGO,Christen Sørensen Longomontanus,"Longomontanus, Christen Sørensen",,Christian Sørensen Longomontanus; Christen Sorensen Longomontanus; Christen Longomontanus; Longomontanus; Christian Severin,person,1562,1647,,assistant; scribe; correspondent,Observers and assistants; Correspondents only,contemporary,Hven,55.907,12.696,Uraniborg assistant 1589–97,1,7,Christen Sørensen Longomontanus,1,9,16,32099097,S_CHRISTIANSON; S_THOREN; S_THESAURUS; S_EPISTOLARIUM
COR_POUL_MADSEN,Poul Madsen,"Madsen, Poul",,,person,,,,correspondent,Correspondents only,contemporary,,,,,0,1,Poul Madsen,0,0,0,,S_EPISTOLARIUM
COR_THE_CHAPTER_AT_THE_CATHE,The Chapter of Magdeburg Cathedral,"Magdeburg Cathedral, Chapter of",,The dean of the chapter at the cathedral of Magdeburg; The chapter at the cathedral of Magdeburg,body,,,,correspondent,Correspondents only,contemporary,,,,,0,2,The chapter at the cathedral of Magdeburg; The dean of the chapter at the cathedral of Magdeburg,0,0,0,,S_EPISTOLARIUM
COR_GIOVANNI_ANTONIO_MAGINI,Giovanni Antonio Magini,"Magini, Giovanni Antonio",,,person,1555,1617,,astronomer; correspondent,Scientific peers and rivals; Correspondents only,contemporary,Bologna,44.495,11.343,Bologna professor of mathematics,6,4,Giovanni Antonio Magini,0,0,0,,S_EPISTOLARIUM
COR_JOHN_MAITLAND,John Maitland,"Maitland, John",,,person,,,,correspondent,Correspondents only,contemporary,Edinburgh,55.953,-3.188,Chancellor of Scotland,1,2,John Maitland,0,0,0,,S_EPISTOLARIUM
COR_JOHANNES_MAJOR,Johannes Major,"Major, Johannes",,,person,,,,correspondent,Correspondents only,contemporary,,,,,4,1,Johannes Major,0,1,0,,S_EPISTOLARIUM
MARIUS,Simon Marius,"Marius, Simon",Simon Marius,,person,1573,1624,,astronomer; assistant,Scientific peers and rivals; Observers and assistants,contemporary,,,,,0,0,,0,1,0,,S_FRIIS_DM1873
COR_MICHAEL_MÄSTLIN,Michael Mästlin,"Mästlin, Michael",,,person,,,,correspondent,Correspondents only,contemporary,,,,,0,1,Michael Mästlin,0,0,0,,S_EPISTOLARIUM
MATTHIAS,"Matthias, Archduke of Austria","Matthias, Archduke of Austria",,,person,1557,1619,,patron; dedicatee; correspondent,Patrons and dedicatees; Correspondents only,contemporary,Vienna,48.208,16.374,"Archduke, later Emperor",0,1,"Matthias, Archduke of Austria",0,0,2,,S_DREYER; S_MOSLEY; S_THESAURUS; S_EPISTOLARIUM
COR_ANDREAS_MEIER,Andreas Meier,"Meier, Andreas",,,person,,,,correspondent,Correspondents only,contemporary,Güstrow,53.797,12.176,rent-master of the Mecklenburg ducal treasury,0,8,"Andreas Meier; [Andreas Meyer, Mecklenburg rent",0,0,0,,S_EPISTOLARIUM
COR_PAULUS_MELISSUS,Paulus Melissus,"Melissus, Paulus",,,person,,,,correspondent,Correspondents only,contemporary,,,,,1,0,Paulus Melissus,0,0,0,,S_EPISTOLARIUM
