record_key,date,date_precision,calendar,kind,direction,sender,recipient,place,language,language_detail,period,edition_of_record,tboo_volume,tboo_page_first,tboo_page_last,witness_class,witness_lines,translation_grade,collated,hven_kassel,concerns_press,abstract,tekstnet_url,letter_page
brahe-t_15750406001,1575-04-06,day,os,letter,to,George Buchanan,Tycho Brahe,Stirling,Latin,Latin,early,"Buchanan, Opera omnia (Ruddiman, Edinburgh 1715)",VII,21,22,unmarked-only,1,A,yes,no,no,Acknowledges receipt of the book *On the New Star* and praises Tycho for restoring astronomy from common neglect to its proper dignity.,https://tekstnet.dk/books/brahe-t_letters/brahe-t_15750406001/,letters/brahe-t_15750406001.html
brahe-t_15760131001,1576-01-31,day,os,letter,to,Johannes Pratensis,Tycho Brahe,Copenhagen,Latin,Latin,early,"Dreyer, Tychonis Brahe Dani Opera Omnia (1913–29)",VII,22,24,unmarked-only,2,A,yes,no,yes,Confirms forwarding a sealed box and money to Rostock and expresses eagerness to hear Tycho's news from his recent travels through Germany.,https://tekstnet.dk/books/brahe-t_letters/brahe-t_15760131001/,letters/brahe-t_15760131001.html
brahe-t_15760214001,1576-02-14,day,os,letter,from,Tycho Brahe,Johannes Pratensis,Knutstorp,Latin,Latin,early,"Dreyer, Tychonis Brahe Dani Opera Omnia (1913–29)",,24,29,unmarked-only,2,B,yes,no,yes,"Confirms the Rostock business was handled and reveals a secret plan to depart for Germany, asking Pratensis to share it only with the French Ambassador Dançay.",https://tekstnet.dk/books/brahe-t_letters/brahe-t_15760214001/,letters/brahe-t_15760214001.html
brahe-t_15760215001,1576-02-15,day,os,letter,to,Johannes Pratensis,Tycho Brahe,Copenhagen,Latin,Latin,early,"Friis, Tychonis Brahei et ad eum doctorum virorum epistolae ab anno 1568 ad annum 1587 (1876–86)",VII,29,32,unmarked-only,2,A,yes,no,yes,"Expresses joy at the king's gracious invitation for Tycho to remain in Denmark, interpreting it as divine providence, and urges Tycho to accept.",https://tekstnet.dk/books/brahe-t_letters/brahe-t_15760215001/,letters/brahe-t_15760215001.html
brahe-t_15760514001,1576-05-14,day,os,letter,to,Heinrich Brucaeus,Tycho Brahe,Rostock,Latin,Latin,early,"Dreyer, Tychonis Brahe Dani Opera Omnia (1913–29)",VII,32,34,unmarked-only,1,A,yes,no,yes,"Returns borrowed Greek propositions, mentions forwarding a sundials manuscript, and approves Tycho's resolve to devote himself to celestial observations.",https://tekstnet.dk/books/brahe-t_letters/brahe-t_15760514001/,letters/brahe-t_15760514001.html
brahe-t_15760626001,1576-06-26,day,os,letter,to,Charles de Dançay,Tycho Brahe,Copenhagen,Latin,Latin,early,"Dreyer, Tychonis Brahe Dani Opera Omnia (1913–29)",VII,34,34,unmarked-only,2,A,yes,no,no,Mourns the death of Pratensis and asks Tycho's guidance on a dedication cornerstone that Pratensis had reserved to himself before his death.,https://tekstnet.dk/books/brahe-t_letters/brahe-t_15760626001/,letters/brahe-t_15760626001.html
brahe-t_15760714001,1576-07-14,day,os,letter,to,Charles de Dançay,Tycho Brahe,Holbæk,Latin,Latin,early,"Dreyer, Tychonis Brahe Dani Opera Omnia (1913–29)",VII,35,35,unmarked-only,2,A,yes,no,no,Confirms a dedication stone is ready with the requested inscription and urges Tycho to summon him and invite guests for the ceremony.,https://tekstnet.dk/books/brahe-t_letters/brahe-t_15760714001/,letters/brahe-t_15760714001.html
brahe-t_15760802001,1576-08-02,day,os,letter,to,Johannes Major,Tycho Brahe,Augsburg,Latin,Latin,early,"Dreyer, Tychonis Brahe Dani Opera Omnia (1913–29)",VII,34,36,unmarked-only,1,A,yes,no,yes,"Thanks Tycho for the gift of his book on the New Star, congratulates him on safe return to his homeland, and expresses continued regard.",https://tekstnet.dk/books/brahe-t_letters/brahe-t_15760802001/,letters/brahe-t_15760802001.html
brahe-t_15760823001,1576-08-23,day,os,letter,to,Thaddaeus Hagecius,Tycho Brahe,Prague,Latin,Latin,early,"Dreyer, Tychonis Brahe Dani Opera Omnia (1913–29)",VII,36,337,unmarked-only,1,A,yes,no,yes,"Recalls their meeting at Regensburg and expresses grief at their swift parting, explaining the long delay in writing by lawsuits and pressing occupations.",https://tekstnet.dk/books/brahe-t_letters/brahe-t_15760823001/,letters/brahe-t_15760823001.html
brahe-t_15760903001,1576-09-03,day,os,letter,from,Tycho Brahe,Petrus Severinus,Knutstorp,Latin,Latin,early,Dänische Bibliothek (Copenhagen 1738–47),VII,38,40,unmarked-only,1,A,yes,no,no,"Responds to two long-unanswered letters, mourning the death of Pratensis and acknowledging Severinus's account of his personal difficulties.",https://tekstnet.dk/books/brahe-t_letters/brahe-t_15760903001/,letters/brahe-t_15760903001.html
brahe-t_15761117001,1576-11-17,day,os,letter,to,Charles de Dançay,Tycho Brahe,Copenhagen,Latin,Latin,early,"Friis, Tychonis Brahei et ad eum doctorum virorum epistolae ab anno 1568 ad annum 1587 (1876–86)",VII,40,41,unmarked-only,2,A,yes,no,no,Asks Tycho to intercede with the King or court friends on behalf of a Scottish soldier owed outstanding pay from the Danish-Swedish war.,https://tekstnet.dk/books/brahe-t_letters/brahe-t_15761117001/,letters/brahe-t_15761117001.html
brahe-t_15761121001,1576-11-21,day,os,letter,from,Tycho Brahe,Joachim Camerarius,Hven,Latin,Latin,early,"Crenius, Animadversiones philologicae et historicae, pars VII (1700)",VII,42,42,none,0,A,yes,no,yes,"Asks Camerarius to collect the remaining books from Brechtel's dispersed library and add any mathematics or chemical titles found, to be shipped via Georg Labenwolf.",https://tekstnet.dk/books/brahe-t_letters/brahe-t_15761121001/,letters/brahe-t_15761121001.html
brahe-t_15761208001,1576-12-08,day,os,letter,to,Heinrich Brucaeus,Tycho Brahe,Rostock,Latin,Latin,early,"Dreyer, Tychonis Brahe Dani Opera Omnia (1913–29)",VII,43,44,unmarked-only,1,A,yes,no,yes,Replies to Tycho's remarks on wasted clear skies and discusses the obstacles to astronomy from foul weather and academic neglect of the subject.,https://tekstnet.dk/books/brahe-t_letters/brahe-t_15761208001/,letters/brahe-t_15761208001.html
brahe-t_15770503001,1577-05-03,day,os,letter,to,Steen Bille,Tycho Brahe,Herrevad,Latin,Latin,hven,"Dreyer, Tychonis Brahe Dani Opera Omnia (1913–29)",VII,45,45,unmarked-only,2,A,yes,no,no,"Reports that the Ptolemaic armillae have been entrusted to the mill craftsman to be fitted according to Tycho's specification, despite others' objections about water use.",https://tekstnet.dk/books/brahe-t_letters/brahe-t_15770503001/,letters/brahe-t_15770503001.html
brahe-t_15770521001,1577-05-21,day,os,letter,from,Tycho Brahe,The Rector and Professors of the University of Copenhagen,Hven,Latin,Latin,hven,"Dreyer, Tychonis Brahe Dani Opera Omnia (1913–29)",VII,45,46,unmarked-only,1,A,yes,no,no,"Thanks the university for his election as rector and declines the office, citing personal unfitness and pressing obligations that prevent him from discharging its duties.",https://tekstnet.dk/books/brahe-t_letters/brahe-t_15770521001/,letters/brahe-t_15770521001.html
brahe-t_15770920001,1577-09-20,day,os,letter,to,Johannes Major,Tycho Brahe,Augsburg,Latin,Latin,hven,"Dreyer, Tychonis Brahe Dani Opera Omnia (1913–29)",VII,46,47,unmarked-only,1,A,yes,no,yes,"Reports a prior letter of thanks for Tycho's treatise on the 1572 star, and describes discussions with Schissler and Gemperlin regarding the construction of a globe.",https://tekstnet.dk/books/brahe-t_letters/brahe-t_15770920001/,letters/brahe-t_15770920001.html
brahe-t_15771114001,1577-11-14,day,os,letter,from,Tycho Brahe,Petrus Severinus,Copenhagen,Latin,Latin,hven,Nye Samlinger til den danske Historie,VII,47,47,none,0,A,yes,no,no,Urges Severinus to observe the current comet and to intercede with the King to prevent Tycho being called away before he completes his instrumental observations.,https://tekstnet.dk/books/brahe-t_letters/brahe-t_15771114001/,letters/brahe-t_15771114001.html
brahe-t_15780509001,1578-05-09,day,os,letter,to,Hieronymus Wolf,Tycho Brahe,Augsburg,Latin,Latin,hven,"Dreyer, Tychonis Brahe Dani Opera Omnia (1913–29)",VII,47,48,unmarked-only,1,A,yes,no,yes,"Notes Tycho's failure to write after Gemperlinus's return from Denmark, and reflects on the astrological prediction of danger to life Tycho had made for him.",https://tekstnet.dk/books/brahe-t_letters/brahe-t_15780509001/,letters/brahe-t_15780509001.html
brahe-t_15781204001,1578-12-04,day,os,letter,to,Heinrich Brucaeus,Tycho Brahe,Rostock,Latin,Latin,hven,"Dreyer, Tychonis Brahe Dani Opera Omnia (1913–29)",VII,48,49,unmarked-only,1,A,yes,no,yes,"Reports finding Maestlin's book on the 1577 comet in the Frankfurt catalogue and offers to forward it, discussing whether Tycho's own demonstration should supersede refutation of others.",https://tekstnet.dk/books/brahe-t_letters/brahe-t_15781204001/,letters/brahe-t_15781204001.html
brahe-t_15790000001,1579-00-00,year,os,letter,from,Tycho Brahe,Hieronymus Wolf,Hven,Latin,Latin,hven,"Dreyer, Tychonis Brahe Dani Opera Omnia (1913–29)",VII,52,53,unmarked-only,1,A,yes,no,yes,"Reports receiving German comet writings via Paul Hainzel, praises Maestlin's observations and demonstration above the rest, and discusses solar apogee, eccentricity, and the eighth sphere.",https://tekstnet.dk/books/brahe-t_letters/brahe-t_15790000001/,letters/brahe-t_15790000001.html
brahe-t_15790325001,1579-03-25,day,os,letter,to,Paul Hainzel,Tycho Brahe,Augsburg,Latin,Latin,hven,"Dreyer, Tychonis Brahe Dani Opera Omnia (1913–29)",VII,49,50,unmarked-only,1,A,yes,no,yes,"Excuses his infrequent letters due to difficulty in Latin, reports his household in good health, and notes the birth of a son in September 1577.",https://tekstnet.dk/books/brahe-t_letters/brahe-t_15790325001/,letters/brahe-t_15790325001.html
brahe-t_15790325002,1579-03-25,day,os,letter,to,Hieronymus Wolf,Tycho Brahe,Augsburg,Latin,Latin / Greek,hven,"Dreyer, Tychonis Brahe Dani Opera Omnia (1913–29)",VII,50,52,copies-only,1,A,yes,no,yes,"Writes briefly due to the courier's haste, reports inability to procure German comet writings, and comments on Danish language and the history of the Cimbri and Teutons.",https://tekstnet.dk/books/brahe-t_letters/brahe-t_15790325002/,letters/brahe-t_15790325002.html
brahe-t_15790521001,1579-05-21,day,os,letter,from,Tycho Brahe,Anders Sørensen Vedel,Hven,Latin,Latin,hven,"Dreyer, Tychonis Brahe Dani Opera Omnia (1913–29)",VII,54,54,copies-only,2,A,yes,no,yes,"Discusses arrangements regarding a horse offered by Master Franciscus and addresses an unnamed adversary's refusal of reconciliation, deferring judgment to the arriving Legate.",https://tekstnet.dk/books/brahe-t_letters/brahe-t_15790521001/,letters/brahe-t_15790521001.html
brahe-t_15790705001,1579-07-05,day,os,letter,from,Tycho Brahe,Anders Sørensen Vedel,Hven,Latin,Latin,hven,"Dreyer, Tychonis Brahe Dani Opera Omnia (1913–29)",VII,55,55,copies-only,1,A,yes,no,yes,"Invites Vedel and the Lord Legate to visit Hven, urging that Laurentius, Doctor Franciscus, Master Ezoccus, and the Royal Treasurer also accompany them.",https://tekstnet.dk/books/brahe-t_letters/brahe-t_15790705001/,letters/brahe-t_15790705001.html
brahe-t_15790705002,1579-07-05,day,os,letter,from,Tycho Brahe,Charles de Dançay,Hven,Latin,Latin,hven,"Dreyer, Tychonis Brahe Dani Opera Omnia (1913–29)",VII,55,56,copies-only,1,A,yes,no,no,"Reminds Dançay of his promise to visit Hven, explains delays caused by travel between Zealand and Scania, and renews the invitation to come with friends.",https://tekstnet.dk/books/brahe-t_letters/brahe-t_15790705002/,letters/brahe-t_15790705002.html
brahe-t_15790815001,1579-08-15,day,os,letter,from,Tycho Brahe,Anders Sørensen Vedel,Hven,Latin,Latin,hven,"Dreyer, Tychonis Brahe Dani Opera Omnia (1913–29)",VII,56,57,copies-only,1,A,yes,no,yes,"Reports writing to Machabæus about horses and encloses letters of introduction to Camerarius, Hainzel, and Wolf in Nuremberg and Augsburg for Vedel's forthcoming journey.",https://tekstnet.dk/books/brahe-t_letters/brahe-t_15790815001/,letters/brahe-t_15790815001.html
brahe-t_15800208001,1580-02-08,day,os,letter,to,Hieronymus Wolf,Tycho Brahe,Augsburg,Latin,Latin,hven,"Dreyer, Tychonis Brahe Dani Opera Omnia (1913–29)",VII,57,57,copies-only,1,A,yes,no,yes,"Reports his health, criticises German astrologers for errors in predicting the recent eclipse, and urges Tycho's accurate observations to settle the disputed true motion of the Sun.",https://tekstnet.dk/books/brahe-t_letters/brahe-t_15800208001/,letters/brahe-t_15800208001.html
brahe-t_15800314001,1580-03-14,day,os,letter,to,Hieronymus Wolf,Tycho Brahe,Augsburg,Latin,Latin,hven,"Dreyer, Tychonis Brahe Dani Opera Omnia (1913–29)",VII,57,58,copies-only,1,A,yes,no,yes,"Accompanies two Danish students with a letter of introduction and notes that local astrologers erred in observing a recent eclipse, expecting more exact results from Tycho.",https://tekstnet.dk/books/brahe-t_letters/brahe-t_15800314001/,letters/brahe-t_15800314001.html
brahe-t_15801104001,1580-11-04,day,os,letter,from,Tycho Brahe,Thaddaeus Hagecius,Hven,Latin,Latin,hven,"Dreyer, Tychonis Brahe Dani Opera Omnia (1913–29)",VII,58,60,mixed,2,A,yes,no,yes,"Apologises for the long silence, citing lack of letter-carriers, and introduces Paul Wittich, who has just delivered Hagecius's latest letter.",https://tekstnet.dk/books/brahe-t_letters/brahe-t_15801104001/,letters/brahe-t_15801104001.html
brahe-t_15811012001,1581-10-12,day,os,letter,from,Tycho Brahe,Bartholomaeus Scultetus,Hven,Latin,Latin,hven,Singularia historico-literaria Lusatica (Leipzig 1736–),VII,61,63,none,0,A,yes,no,no,"Thanks Scultetus for books received and critiques his treatise on the 1577 comet, disputing the parallax measurements as partly impossible and partly insufficiently observed.",https://tekstnet.dk/books/brahe-t_letters/brahe-t_15811012001/,letters/brahe-t_15811012001.html
brahe-t_15811012002,1581-10-12,day,os,letter,from,Tycho Brahe,Thaddaeus Hagecius,Hven,Latin,Latin,hven,"Dreyer, Tychonis Brahe Dani Opera Omnia (1913–29)",VII,64,69,copies-only,2,A,yes,no,yes,"Suspects earlier letters went astray, notes receipt of Hagecius's comet booklet brought by Bartholomaeus Scultetus, and prepares to offer the requested opinion on it.",https://tekstnet.dk/books/brahe-t_letters/brahe-t_15811012002/,letters/brahe-t_15811012002.html
brahe-t_15820501001,1582-05-01,day,os,letter,to,Thaddaeus Hagecius,Tycho Brahe,Prague,Latin,Latin,hven,"Dreyer, Tychonis Brahe Dani Opera Omnia (1913–29)",VII,69,72,copies-only,1,A,yes,no,yes,"Reports receiving Tycho's letter, regrets his own was not delivered, and defends Wittich, who conveyed Tycho's letter faithfully and invited Hagecius to join him on Hven.",https://tekstnet.dk/books/brahe-t_letters/brahe-t_15820501001/,letters/brahe-t_15820501001.html
brahe-t_15820923001,1582-09-23,day,os,letter,from,Tycho Brahe,Thaddaeus Hagecius,Hven,Latin,Latin,hven,"Friis, Tychonis Brahei et ad eum doctorum virorum epistolae ab anno 1568 ad annum 1587 (1876–86)",VII,72,75,copies-only,1,A,yes,no,yes,"Acknowledges receipt of Hagecius's letter via a Görlitz merchant, clears Wittich of suspicion, and sends a brief reply despite pressure of affairs and a royal summons.",https://tekstnet.dk/books/brahe-t_letters/brahe-t_15820923001/,letters/brahe-t_15820923001.html
brahe-t_15830821001,1583-08-21,day,os,letter,from,Tycho Brahe,Charles de Dançay,Hven,Latin,Latin,hven,"Dreyer, Tychonis Brahe Dani Opera Omnia (1913–29)",VII,75,76,copies-only,1,A,yes,no,no,"Acknowledges Dançay's letter, urges him to endure court intrigues with composure, and conveys greetings from Erik Lange.",https://tekstnet.dk/books/brahe-t_letters/brahe-t_15830821001/,letters/brahe-t_15830821001.html
brahe-t_15840000001,1584-00-00,year,unmarked,letter,from,Tycho Brahe,Heinrich Brucaeus,,Latin,Latin,hven,"Friis, Tychonis Brahei et ad eum doctorum virorum epistolae ab anno 1568 ad annum 1587 (1876–86)",VII,78,82,copies-only,1,A,yes,no,yes,"Disapproves of Brucaeus's neglect of mathematical studies, praises his plan to expound Proclus's Hypotheses, and requests a copy, while noting those Hypotheses rest on imperfect Ptolemaic foundations.",https://tekstnet.dk/books/brahe-t_letters/brahe-t_15840000001/,letters/brahe-t_15840000001.html
brahe-t_15840216001,1584-02-16,day,os,letter,from,Tycho Brahe,Anders Sørensen Vedel,Hven,Latin,Latin,hven,"Dreyer, Tychonis Brahe Dani Opera Omnia (1913–29)",VII,77,77,copies-only,1,A,yes,no,yes,"Declines the Holstein typographer Vedel proposed, reports engaging another printer and ordering type at the Frankfurt Fair to establish a press at Uraniborg.",https://tekstnet.dk/books/brahe-t_letters/brahe-t_15840216001/,letters/brahe-t_15840216001.html
brahe-t_15840608001,1584-06-08,day,os,letter,to,Johannes Major,Tycho Brahe,Augsburg,Latin,Latin,hven,"Dreyer, Tychonis Brahe Dani Opera Omnia (1913–29)",VII,83,85,copies-only,1,A,yes,no,yes,"Reports procuring books as requested, including Scaliger's work on the Gregorian calendar, and expresses relief at learning Tycho is still alive after rumours of his death.",https://tekstnet.dk/books/brahe-t_letters/brahe-t_15840608001/,letters/brahe-t_15840608001.html
brahe-t_15840612001,1584-06-12,day,os,letter,to,Heinrich Brucaeus,Tycho Brahe,Rostock,Latin,Latin,hven,"Dreyer, Tychonis Brahe Dani Opera Omnia (1913–29)",VII,85,86,copies-only,1,A,yes,no,yes,"Reports forwarding money to Tycho's printer via a carter and discusses solar and lunar motion, noting that Peurbach's calculations outperform Copernicus's in eclipse timings.",https://tekstnet.dk/books/brahe-t_letters/brahe-t_15840612001/,letters/brahe-t_15840612001.html
brahe-t_15840715001,1584-07-15,day,os,letter,from,Tycho Brahe,Johannes Major,Knutstorp,Latin,Latin,hven,"Friis, Tychonis Brahei et ad eum doctorum virorum epistolae ab anno 1568 ad annum 1587 (1876–86)",VII,86,87,copies-only,1,A,yes,no,yes,"Acknowledges books received, declines the Wellerian ones, and argues that Lutheran theologians had no grounds to incite popular unrest over the Gregorian calendar reform.",https://tekstnet.dk/books/brahe-t_letters/brahe-t_15840715001/,letters/brahe-t_15840715001.html
brahe-t_15841210001,1584-12-10,day,os,letter,to,Heinrich Brucaeus,Tycho Brahe,Rostock,Latin,Latin,hven,"Friis, Tychonis Brahei et ad eum doctorum virorum epistolae ab anno 1568 ad annum 1587 (1876–86)",VII,88,89,copies-only,1,A,yes,no,yes,"Reports the Frankfurt bookseller brought none of the requested books, provides information on printing types available from Myliander, and notes Clavius's Gnomonice was sold to Rantzau.",https://tekstnet.dk/books/brahe-t_letters/brahe-t_15841210001/,letters/brahe-t_15841210001.html
brahe-t_15841211001,1584-12-11,day,os,letter,to,"Frederik II, King of Denmark",Tycho Brahe,Sorø,Danish,"Danish, with Latin rubric",hven,"Dreyer, Tychonis Brahe Dani Opera Omnia (1913–29)",XIV,28,28,unmarked-only,1,A,yes,no,no,"Requests the return of a compass given to Tycho for repair, or if unavailable, asks that two new compasses of the same quality be made.",https://tekstnet.dk/books/brahe-t_letters/brahe-t_15841211001/,letters/brahe-t_15841211001.html
brahe-t_15850000001,1585-00-00,year,unmarked,letter,to,Heinrich Brucaeus,Tycho Brahe,Rostock,Latin,Latin,hven,"Dreyer, Tychonis Brahe Dani Opera Omnia (1913–29)",VII,91,91,copies-only,1,A,yes,no,yes,"Sends paper and printing type obtained from Wittenberg, giving prices and delivery details, and notes the carter will bring remaining type once cast.",https://tekstnet.dk/books/brahe-t_letters/brahe-t_15850000001/,letters/brahe-t_15850000001.html
brahe-t_15850108001,1585-01-08,day,os,letter,from,Tycho Brahe,Henrik Rantzau,Hven,Latin,Latin,hven,"Dreyer, Tychonis Brahe Dani Opera Omnia (1913–29)",VII,89,90,unmarked-only,1,A,yes,no,yes,"Reports the recent visit of Gerhard Rantzau to Uraniborg, praises his talents and character, and describes showing him the astronomical instruments and the new printing house.",https://tekstnet.dk/books/brahe-t_letters/brahe-t_15850108001/,letters/brahe-t_15850108001.html
brahe-t_15850404001,1585-04-04,day,os,letter,to,Heinrich Brucaeus,Tycho Brahe,,Latin,Latin,hven,"Friis, Tychonis Brahei et ad eum doctorum virorum epistolae ab anno 1568 ad annum 1587 (1876–86)",VII,91,92,copies-only,1,A,yes,no,yes,"Reports sending the type and books, and remonstrates against Tycho permitting a commonplace almanac with weather predictions to be published at his press.",https://tekstnet.dk/books/brahe-t_letters/brahe-t_15850404001/,letters/brahe-t_15850404001.html
brahe-t_15850518001,1585-05-18,day,os,letter,to,Christoph Rothmann,Tycho Brahe,Kassel,Latin,Latin,hven,"Brahe, Epistolarum astronomicarum liber primus (Uraniborg 1596)",VI,53,58,none,0,B,no,yes,yes,"Reports that Landgrave Wilhelm IV received Tycho's letter and comet treatise with great pleasure, that the Prince will write separately, and begins his own response on astronomical matters.",https://tekstnet.dk/books/brahe-t_letters/brahe-t_15850518001/,letters/brahe-t_15850518001.html
brahe-t_15850526001,1585-05-26,day,os,letter,to,"Frederik II, King of Denmark",Tycho Brahe,Helsingør,Danish,"Danish, with Latin-rubric heading",hven,"Dreyer, Tychonis Brahe Dani Opera Omnia (1913–29)",XIV,28,29,unmarked-only,1,A,yes,no,no,"Rebukes Tycho for neglecting the Kullen beacon, citing sailors' complaints and noting that royal letters of command to the toll-officers have not been carried into effect.",https://tekstnet.dk/books/brahe-t_letters/brahe-t_15850526001/,letters/brahe-t_15850526001.html
brahe-t_15850623001,1585-06-23,day,os,letter,to,Heinrich Brucaeus,Tycho Brahe,Rostock,Latin,Latin,hven,"Dreyer, Tychonis Brahe Dani Opera Omnia (1913–29)",VII,92,92,copies-only,1,A,yes,no,yes,"Acknowledges receipt of payment, questions whether Tycho still intends to publish a calendar, and expresses skepticism that astrological prediction can be made reliable.",https://tekstnet.dk/books/brahe-t_letters/brahe-t_15850623001/,letters/brahe-t_15850623001.html
brahe-t_15850825001,1585-08-25,day,os,letter,from,Tycho Brahe,Thaddaeus Hagecius,Hven,Latin,Latin,hven,"Friis, Tychonis Brahei et ad eum doctorum virorum epistolae ab anno 1568 ad annum 1587 (1876–86)",VII,93,97,copies-only,1,A,yes,no,yes,"Thanks Hagecius for the kindness shown to his brother Steno Brahe during the latter's embassy to the Emperor, and pledges to repay the favour.",https://tekstnet.dk/books/brahe-t_letters/brahe-t_15850825001/,letters/brahe-t_15850825001.html
brahe-t_15851020001,1585-10-20,day,os,letter,third,"Wilhelm IV, Landgrave of Hesse-Kassel",Henrik Rantzau,Rotenburg an der Fulda,German,"German, with Latin rubric",hven,"Brahe, Epistolarum astronomicarum liber primus (Uraniborg 1596)",VI,30,32,none,0,B,no,yes,yes,"Reports improvements to the Kassel instruments following Paul Wittich's instruction, now achieving quarter-minute precision, and describes a new horizontal quadrant and sextant.",https://tekstnet.dk/books/brahe-t_letters/brahe-t_15851020001/,letters/brahe-t_15851020001.html
