specimen_key,date,specimen,type,registers,life_stage,autograph_class,verdict,grade,status,holding,city,shelfmark,catalogue_record,surrogates,census_copy
letter-wilhelm-hessen-1588-08-15,1588-08-15,"Letter to Landgrave Wilhelm IV, Uraniborg, 15 August 1588 — autograph original (Marburg)",autograph letter,correspondence,Hven / Uraniborg maturity,partly autograph,probable,B,extant,Hessisches Staatsarchiv Marburg,Marburg,"Best. 3 II, Nr. 1070 (former 4a.31.14)",https://arcinsys.hessen.de/arcinsys/showArchivalDescriptionDetails?archivalDescriptionId=10465709,,
prague-nk-15-k-22-bruno-acrotismus-epigram,1588-1601,"Prague NK, 15 K 22 — Bruno, Acrotismus (1588): hostile back-page 'Nullanus' epigram (autograph status disputed)",marginalia in a printed book,marginalia,Hven / Uraniborg maturity,autograph status disputed,possible,D,disputed,National Library of the Czech Republic,Prague,15 K 22 (15 K 000022),https://www.manuscriptorium.com/apps/index.php?direct=record&pid=NKCR__-NKCR__15_K_000022_3Y95TLC-cs,; https://collectiones.manuscriptorium.com/assorted/NKCR__/NKCR__/C/NKCR__-NKCR__15_K_000022_3Y95TLC-cs/,
kb-thott572-resen-album-hven-1589,1589,"Album amicorum entry — Tycho, Hven c.Jun 1589 (Hans Poulsen Resen stambog)",album amicorum leaf,dedication inscription,Hven / Uraniborg maturity,wholly autograph,probable,B,extant,Det Kgl. Bibliotek (Royal Danish Library),Copenhagen,Thott 572 8 (2deg),,,
letter-wilhelm-hessen-1589-02-21,1589-02-21,"Letter to Landgrave Wilhelm IV, Uraniborg, 21 February 1589 — autograph original (Marburg)",autograph letter,correspondence,Hven / Uraniborg maturity,partly autograph,probable,B,extant,Hessisches Staatsarchiv Marburg,Marburg,"Best. 3 II, Nr. 1070 (former 4a.31.14)",https://arcinsys.hessen.de/arcinsys/showArchivalDescriptionDetails?archivalDescriptionId=10465709,,
kb-sinklar-album-hven-1589,1589-08-17,"Album amicorum entry — Tycho, Hven 17 Aug 1589 (Anders Sinklar stambog)",album amicorum leaf,dedication inscription,Hven / Uraniborg maturity,wholly autograph,probable,A,extant,Det Kgl. Bibliotek (Royal Danish Library),Copenhagen,"Kat. 169 II-211, 8 (8vo)",,,
letter-poul-madsen-1589,1589-12-16,"Letter to Poul Madsen (Bishop of Zealand), Uraniborg, 16 Dec 1589 — surviving original (Copenhagen, Rigsarkivet, Konsistoriums arkiv, KA 188)",autograph letter,"correspondence, administrative document",Hven / Uraniborg maturity,autograph signature only,probable,B,extant,Rigsarkivet (Danish National Archives),Copenhagen,Konsistoriums arkiv [gl. sign. KA 188],https://tekstnet.dk/books/brahe-t_letters/brahe-t_15891216001/,,
letter-savile-1590,1590,"Letter to Thomas Savile, Uraniborg, 1590 — autograph subscription (sending De mundi to John Dee + portraits)",autograph letter,correspondence,Hven / Uraniborg maturity,autograph signature only,probable,B,extant,(corpus: Opera Omnia / Portrait literature),,,,,
dibner-fragment-1590,1590-07-11,"Dibner Library — torn parchment fragment, Uraniborg 11 Jul 1590 (testamentary/financial acknowledgement)",administrative document,administrative document,Hven / Uraniborg maturity,wholly autograph,probable,B,extant,Dibner Library of the History of Science and Technology (Smithsonian; ex Burndy),Washington DC,,,,
letter-scultetus-1590,1590-12,"Letter to Bartholomäus Scultetus, Uraniborg, Dec 1590 — autograph subscription 'Tycho Brahe manu propria'",autograph letter,correspondence,Hven / Uraniborg maturity,autograph signature only,probable,B,extant,"(printed in Singularia historico-literaria Lusatica, Leipzig & Bautzen 1743)",,,,,
strahov-dg-iv-25,1591,"Prague, Strahov Monastery, DG IV 25 — Sebald Plan album, Tycho's entry (Uraniborg, 1591)",album amicorum leaf,dedication inscription,Hven / Uraniborg maturity,wholly autograph,secure,A,extant,Strahov Monastery Library,Prague,DG IV 25,https://www.manuscriptorium.com/apps/index.php?direct=record&pid=AIPDIG-KKPS__DG_IV_25____07A0L83-cs,https://collectiones.manuscriptorium.com/assorted/AIPDIG/KKPS__/3/AIPDIG-KKPS__DG_IV_25____07A0L83-cs/; https://collectiones.manuscriptorium.com/assorted/AIPDIG/KKPS__/3/AIPDIG-KKPS__DG_IV_25____07A0L83-cs/,
letter-anders-christensen-1591,1591-06-21,"Letter to Anders Christensen, Uraniborg, 21 Jun 1591 — surviving original (Copenhagen, Rigsarkivet, Konsistoriums arkiv, KA 185)",autograph letter,"correspondence, administrative document",Hven / Uraniborg maturity,autograph signature only,probable,B,extant,Rigsarkivet (Danish National Archives),Copenhagen,Konsistoriums arkiv [gl. sign. KA 185],https://tekstnet.dk/books/brahe-t_letters/brahe-t_15910621001/,,
arbo-stammbuch-alciati,1591-1601,"Album-amicorum entry in Peder Mikkelsen Arbo's Stammbuch (in an Alciati Emblemata, Plantin 1591) — motto 'Spei.'",album amicorum leaf,dedication inscription,Hven / Uraniborg maturity,wholly autograph,possible,C,extant,unlocated (reproduced by Prandtl 1933),,,,,
kb-nks269-arboe-album-hven-1592,1592,"Album amicorum entry — Tycho, Hven 1592 (P.M. Arboe stambog, Alciati Emblemata 1591)",album amicorum leaf,dedication inscription,Hven / Uraniborg maturity,wholly autograph,probable,A,extant,Det Kgl. Bibliotek (Royal Danish Library),Copenhagen,"NKS 269 8 (2deg, acq. 1972 Otto Haas)",,,
letter-rothmann-1592-02-12,1592-02-12,"Letter to Christoph Rothmann, 12 February 1592 — autograph original (Marburg)",autograph letter,correspondence,Hven / Uraniborg maturity,partly autograph,probable,B,extant,Hessisches Staatsarchiv Marburg,Marburg,"Best. 3 II, Nr. 1070 (former 4a.31.14)",https://arcinsys.hessen.de/arcinsys/showArchivalDescriptionDetails?archivalDescriptionId=10465709,,
letter-wilhelm-hessen-1592-09-20,1592-09-20,"Letter to Landgrave Wilhelm IV, Uraniborg, 20 September 1592 — autograph original (Marburg)",autograph letter,correspondence,Hven / Uraniborg maturity,partly autograph,probable,B,extant,Hessisches Staatsarchiv Marburg,Marburg,"Best. 3 II, Nr. 1070 (former 4a.31.14)",https://arcinsys.hessen.de/arcinsys/showArchivalDescriptionDetails?archivalDescriptionId=10465709,,
kb-thott388-wigand-album-uraniborg-1596,1596-04-24,"Album amicorum leaf — Tycho, Uraniborg 24 Apr 1596 (pasted into Jacob Wigand stambog)",album amicorum leaf,dedication inscription,Hven / Uraniborg maturity,wholly autograph,probable,A,extant,Det Kgl. Bibliotek (Royal Danish Library),Copenhagen,"Thott 388, 8 (8vo)",,,
kb-gks-316,1596-1597,"Copenhagen, KB, GKS 316 folio — observation protocol 1596-97 (digitised ff. 127r-137r), partly autograph",observation log,observation log,Hven / Uraniborg maturity,partly autograph,probable,B,extant,Det Kgl. Bibliotek (Royal Danish Library),Copenhagen,GKS 316 folio,https://soeg.kb.dk/permalink/45KBDK_KGL/1o797oc/alma99122876138005763,https://permalink.kb.dk/permalink/2006/manus/742/dan/,
copenhagen-kb-astr1100-johan-adolf-dedication,1596/1598,"Epistolae (1596) green-silk presentation copy — dedication to Johan Adolf, Duke of Schleswig-Holstein-Gottorp",presentation inscription,dedication inscription,Hven / Uraniborg maturity,autograph signature only,probable,B,extant,Det Kgl. Bibliotek (Royal Danish Library),Copenhagen,4° Astr. 1100 00016,,,brahe-epistolae-1596/copenhagen-kb-astr1100-johan-adolf
letter-moritz-hessen-1597,1597-07-17,"Letter to Landgrave Moritz of Hesse-Kassel, Rostock, 17 Jul 1597 — surviving original (Marburg, Hessisches Staatsarchiv)",autograph letter,correspondence,Hven / Uraniborg maturity,autograph signature only,probable,B,extant,Hessisches Staatsarchiv Marburg,Marburg,Briefwechsel des Landgrafen Moritz,https://tekstnet.dk/books/brahe-t_letters/brahe-t_15970617001/,,
letter-erik-sparre-1597,1597-09-07,"Letter to Erik Sparre, Rostock, 7 Sep 1597 — surviving original (Stockholm, Riksarkivet, Erik Sparres Samling)",autograph letter,correspondence,Hven / Uraniborg maturity,autograph signature only,probable,B,extant,Riksarkivet (Swedish National Archives),Stockholm,"Erik Sparres Samling, Skrivelser till E. S. och hans hustru",https://tekstnet.dk/books/brahe-t_letters/brahe-t_15970907001/,,
berlin-grauen-kloster-rollenhagen-lost-dedication,1598,Mechanica (1598) presentation copy — autograph dedication to Georg Rollenhagen (1542–1609),presentation inscription,dedication inscription,Exile / late,autograph signature only,probable,B,extant,"formerly Gymnasium zum Grauen Kloster, Berlin (institution destroyed in WW2)",Berlin,(lost),,,brahe-mechanica-1598-wandsbek/berlin-grauen-kloster-rollenhagen-lost
bnf-mechanica-maurice-nassau,1598,Mechanica (1598) dedicated to Prince Moritz of Orange (Maurice of Nassau) — autograph signature (1598),presentation inscription,"formal presentation, calligraphic display",Exile / late,"calligrapher's body, autograph signature",probable,B,extant,Bibliothèque nationale de France,Paris,Réserve RES-V-228,,,brahe-mechanica-1598-wandsbek/bnf-paris-res-v-228
bnf-mechanica-raitenau,1598,"Mechanica (1598) dedicated to Wolf Dietrich von Raitenau, Prince-Archbishop of Salzburg — autograph signature (1598)",presentation inscription,"formal presentation, calligraphic display",Exile / late,"calligrapher's body, autograph signature",probable,B,extant,Bibliothèque nationale de France,Paris,Réserve RES-V-229,https://gallica.bnf.fr/ark:/12148/bpt6k106374p,https://gallica.bnf.fr/ark:/12148/bpt6k106374p,brahe-mechanica-1598-wandsbek/bnf-paris-res-v-229
detmold-llb-nl-70-4,1598,"Mechanica (1598) dedicated to Simon VI, Count zur Lippe — autograph signature",presentation inscription,dedication inscription,Exile / late,autograph signature only,probable,B,extant,Lippische Landesbibliothek Detmold,Detmold,Nl 70.4°,https://digitale-sammlungen.llb-detmold.de/content/titleinfo/2547750,https://digitale-sammlungen.llb-detmold.de/i3f/v20/2547750/manifest,brahe-mechanica-1598-wandsbek/detmold-llb-nl-70-4
dresden-slub-s-b-14-dedication,1598,"Mechanica (1598) presentation copy — autograph dedication to Christian, Johan Georg and August, Princes of Saxony (under guardianship of Duke Friedrich Wilhelm of Sachsen-Altenburg)",presentation inscription,dedication inscription,Exile / late,autograph signature only,probable,B,extant,Sächsische Landesbibliothek – Staats- und Universitätsbibliothek Dresden,Dresden,S.B.14,,,brahe-mechanica-1598-wandsbek/dresden-slub-s-b-14
florence-bncf-ii-ii-529-magini-dedication,1598,"Mechanica (1598) presentation copy — autograph dedication to Giovanni Antonio Magini (1555–1617), Bolognese astronomer",presentation inscription,dedication inscription,Exile / late,autograph signature only,probable,B,extant,Biblioteca Nazionale Centrale di Firenze (Manuscripts department),Florence,II.II.529,,,brahe-mechanica-1598-wandsbek/florence-bncf-ii-ii-529-magini
kb-gks-306,1598,"Copenhagen, KB, GKS 306 folio — 1000-star catalogue presentation copy to Christian IV (Wandsbek 1598); autograph preface to Rudolf II",manuscript,formal presentation,Exile / late,partly autograph,secure,A,extant,Det Kgl. Bibliotek (Royal Danish Library),Copenhagen,GKS 306 folio,https://soeg.kb.dk/permalink/45KBDK_KGL/1o797oc/alma99122876056805763,https://soeg.kb.dk/permalink/45KBDK_KGL/1o797oc/alma99122876056805763,
kb-thott1291-merseburg-album-wittenberg-1598,1598,"Album amicorum leaf (trimmed) — Tycho, Wittenberg 1598 (Merseburg autograph coll.)",album amicorum leaf,dedication inscription,Exile / late,wholly autograph,probable,B,extant,Det Kgl. Bibliotek (Royal Danish Library),Copenhagen,Thott 1291 4 (2deg) — Merseburg autograph collection,,,
kiel-mechanica-fabricius,1598,"Mechanica (1598) dedicated to David Fabricius (astronomer, Tycho's correspondent) — autograph signature (1598)",presentation inscription,"formal presentation, calligraphic display",Exile / late,"calligrapher's body, autograph signature",probable,B,extant,Universitätsbibliothek Kiel,Kiel,Archiv III 69,,,brahe-mechanica-1598-wandsbek/kiel-ub-archiv-iii-69-fabricius
prague-strahov-h23-hasenburg,1598,"Prague, Strahov, AG XI 56 — Mechanica (1598) dedicated to J. von Hasenburg, autograph signature (1598)",presentation inscription,"formal presentation, calligraphic display",Exile / late,"calligrapher's body, autograph signature",secure,A,extant,Strahov Monastery Library,Prague,AG XI 56,,,brahe-mechanica-1598-wandsbek/prague-strahov-h23-hasenburg
rostock-ub-l-ii-b-9,1598,"Mechanica (1598) dedicated to Ulrich III, Duke of Mecklenburg — autograph signature",presentation inscription,"formal presentation, calligraphic display",Exile / late,"calligrapher's body, autograph signature",probable,B,extant,Universitätsbibliothek Rostock,Rostock,LIIb-9,http://purl.uni-rostock.de/rosdok/ppn1066665710,"https://rosdok.uni-rostock.de/api/iiif/presentation/v2/rosdok_ppn1066665710/manifest; https://rosdok.uni-rostock.de/api/iiif/image/v2/rosdok_ppn1066665710__phys_0004/full/!1000,1000/0/default.jpg",brahe-mechanica-1598-wandsbek/rostock-ub-l-ii-b-9
koenigsberg-mueller-dedication,1598-03,"Progymnasmata working copy (Uraniborg printing) — gift inscription to Johannes Müller, March 1598",presentation inscription,dedication inscription,Exile / late,autograph signature only,probable,B,extant,Universitätsbibliothek Königsberg,Kaliningrad,(former Königsberg Univ-Bibl; survival uncertain),,,brahe-progymnasmata-1592-uraniborg/konigsberg-muller-working-copy
letter-valkendorf-1598,1598-05-28,"Letter to Kristoffer Valkendorf, Wandsbek, 28 May 1598 — surviving original (Copenhagen, Rigsarkivet, Privatarkiver: Kristoffer Valkendorff)",autograph letter,"correspondence, administrative document",Exile / late,autograph signature only,probable,B,extant,Rigsarkivet (Danish National Archives),Copenhagen,Privatarkiver: Kristoffer Valkendorff,https://tekstnet.dk/books/brahe-t_letters/brahe-t_15980528001/,,
kb-mechanica-otto-brahe,1598-06-08,Mechanica (1598) dedicated to Otto Steensen Brahe (Tycho's nephew) — autograph signature (1598-06-08),presentation inscription,"formal presentation, calligraphic display",Exile / late,"calligrapher's body, autograph signature",probable,B,extant,Det Kgl. Bibliotek (Royal Danish Library),Copenhagen,LN 432 2° (Hasselberg 5),,,brahe-mechanica-1598-wandsbek/copenhagen-kb-ln-432-copy5
rundetaarn-boetius-album-wandsbek-1598,1598-09-13,"Album amicorum leaf — Tycho, Wandsbek 13 Sep 1598 (Boetius album; leaf now Museet paa Rundetaarn)",album amicorum leaf,dedication inscription,Exile / late,wholly autograph,probable,A,extant,Museet paa Rundetaarn,Copenhagen,Rundetaarn (ex Noodt coll.); KB copy NAES 1289 d 2 (2deg),,,
st-petersburg-rnl-otto-ii-dedication,1598-10-05,"Mechanica (1598) presentation copy — autograph dedication to Otto II, Duke of Braunschweig-Lüneburg-Harburg (1528–1603)",presentation inscription,dedication inscription,Exile / late,autograph signature only,probable,B,extant,Российская национальная библиотека (Russian National Library),St Petersburg,(no public OPAC for 16th-c. material; contact RNL Rare Books),,,brahe-mechanica-1598-wandsbek/st-petersburg-rnl-otto-ii
leaf-wittenberg-1598-10-25,1598-10-25,"Album leaf, Wittenberg 25 Oct 1598 — 'Suspiciendo despicio' (Tycho's device)",album amicorum leaf,dedication inscription,Exile / late,wholly autograph,secure,A,extant,private collection,,,,,
uppsala-waller-dk-00231,1598-11-10,"Uppsala UB, Waller Ms dk-00231 — album leaf, Dresden 10 Nov 1598, 'PLATO' (with angel-and-armillary miniature)",album amicorum leaf,dedication inscription,Exile / late,wholly autograph,secure,A,extant,Uppsala University Library,Uppsala,Waller Ms dk-00231,https://www.alvin-portal.org/alvin/view.jsf?pid=alvin-record%3A16945,https://www.alvin-portal.org/alvin/view.jsf?pid=alvin-record%3A16945; https://www.alvin-portal.org/iipsrv/iipsrv.fcgi?IIIF=/mnt/data/alvin/jp2/16000/900/alvin-record_16945-ATTACHMENT-0001.jp2,
gotha-mechanica-friedrich-wilhelm,1598-1600,Mechanica (1598) dedicated to Duke Friedrich Wilhelm of Saxe-Weimar — autograph signature (1598-1600),presentation inscription,"formal presentation, calligraphic display",Exile / late,"calligrapher's body, autograph signature",probable,C,extant,Forschungsbibliothek Gotha,Gotha,Hasselberg nr 14,,,brahe-mechanica-1598-wandsbek/gotha-fb-h14-friedrich-wilhelm
letters-schwerin-mecklenburg-cluster,1598-1601,"Exile financial correspondence to Mecklenburg, 1598-1601 — cluster of 10 surviving originals (Landeshauptarchiv Schwerin)",administrative document,"administrative document, correspondence",Exile / late,autograph signature only,probable,B,extant,Landeshauptarchiv Schwerin,Schwerin,Renterei-Akten; Correspondenz des Herzogs Ulrich; Debita passiva principum Vol. XXVIII B; Familien-Akten: Brahe,,,
venice-bnm-republic-dedication,1598-1601,"Venice, Biblioteca Nazionale Marciana, H24 — Mechanica (1598) dedicated to the Republic of Venice, autograph signature 'manu propria'",presentation inscription,"formal presentation, calligraphic display",Exile / late,"calligrapher's body, autograph signature",secure,A,extant,Biblioteca Nazionale Marciana,Venice,H24,,,brahe-mechanica-1598-wandsbek/venice-bnm-h24-republic
goettingen-ub-h33-henrik-julius-dedication,1598/1599,"Mechanica (1598) presentation copy — autograph dedication to Heinrich Julius, Duke of Braunschweig-Wolfenbüttel (1564–1613)",presentation inscription,dedication inscription,Exile / late,autograph signature only,probable,B,extant,Niedersächsische Staats- und Universitätsbibliothek Göttingen (SUB Göttingen),Göttingen,(not yet retrieved),,,brahe-mechanica-1598-wandsbek/goettingen-ub-h33-henrik-julius
copenhagen-kb-ferdinand-archduke-dedication,1598/1601,"Mechanica (1598) presentation copy — autograph dedication to Ferdinand, Archduke of Austria (Mosley attribution; possibly tampered)",presentation inscription,dedication inscription,Exile / late,autograph signature only,probable,B,extant,Det Kgl. Bibliotek (Royal Danish Library),Copenhagen,(not yet retrieved; KB Copenhagen confirmed institution; Mosley does not give shelfmark),,,brahe-mechanica-1598-wandsbek/copenhagen-kb-ferdinand-archduke
prague-nm-vif44-son-album-wittenberg-1599,1599,"Album amicorum inscription — Tycho to his son, Wittenberg 1599 (Tyge Brahe jr stambog)",album amicorum leaf,dedication inscription,Exile / late,wholly autograph,probable,A,extant,"Narodni muzeum, Praha (orig.); KB microfilm",Prague,Narodni muzeum VI F 44; KB microfilm Ms. micro 724,,,
bl-mechanica-hagecius,1599-01-14,Mechanica (1598) dedicated to Thaddaeus Hájek (Hagecius) — autograph signature (1599-01-14),presentation inscription,"formal presentation, calligraphic display",Exile / late,"calligrapher's body, autograph signature",probable,B,extant,British Library,London,C.45.h.3,,,brahe-mechanica-1598-wandsbek/london-bl-c-45-h-3
prague-nm-vi-f-44,1599-02-28,"Prague, Národní muzeum, VI F 44 — Tyge Brahe album, Tycho's holograph entry (Wittenberg, 28 Feb 1599)",album amicorum leaf,dedication inscription,Exile / late,wholly autograph,secure,A,extant,Národní muzeum (National Museum),Prague,VI F 44,https://www.manuscriptorium.com/apps/index.php?direct=record&pid=AIPDIG-NMP___VI_F_44_____1S10ZV6-cs,https://collectiones.manuscriptorium.com/assorted/AIPDIG/NMP___/6/AIPDIG-NMP___VI_F_44_____1S10ZV6-cs/; https://imagines.manuscriptorium.com/loris/AIPDIG-NMP___VI_F_44_____1S10ZV6-cs/ID0001v/full/full/0/default.jpg; https://collectiones.manuscriptorium.com/assorted/AIPDIG/NMP___/6/AIPDIG-NMP___VI_F_44_____1S10ZV6-cs/,
vienna-onb-cod-12888-sinnich,1599-03-06,"Vienna, ÖNB, Cod. 12.888 — Wolfgang Sinnich album, Tycho's entry (Wittenberg, 6 Mar 1599)",album amicorum leaf,dedication inscription,Exile / late,wholly autograph,probable,B,extant,Österreichische Nationalbibliothek,Vienna,Cod. 12.888,https://raa.gf-franken.de/de/suche-nach-stammbucheintraegen.html?permaLink=1592_sinnich;38,,
sophia-stock-6196,1599-04-16,"private collection — album leaf, Wittenberg 16 Apr 1599, 'PALINGENIUS' (the house reference specimen for the 1599 hand)",album amicorum leaf,dedication inscription,Exile / late,wholly autograph,secure,A,extant,private collection,,,,,
leaf-wittenberg-1599-05-08,1599-05-08,"Album leaf, Wittenberg 8 May 1599 — St Paul, I Cor 13:10",album amicorum leaf,dedication inscription,Exile / late,wholly autograph,secure,A,extant,private collection,,,,,
leaf-wittenberg-1599-05-29,1599-05-29,"Album leaf, Wittenberg 29 May 1599 — St Paul, I Cor 3:3-4 (rebuke of factionalism)",album amicorum leaf,dedication inscription,Exile / late,wholly autograph,probable,B,extant,unknown (known only from a photograph),,,,,
leaf-wittenberg-1599-06-14,1599-06-14,"Album leaf, Wittenberg 14 Jun 1599 — the farewell leaf ('quo Witebergā discessi')",album amicorum leaf,dedication inscription,Exile / late,wholly autograph,secure,A,known only from a photograph,private collection,,,https://www.rarepapers.com/,,
stralsund-khm-a-1993-160-wicken,1599-07-13,"Stralsund, Kulturhistorisches Museum, A 1993:160 — Nicolaus von Wicken album, Tycho's entry (Prague, 13 Jul 1599)",album amicorum leaf,dedication inscription,Exile / late,wholly autograph,probable,B,extant,Kulturhistorisches Museum Stralsund,Stralsund,A 1993:160,https://raa.gf-franken.de/de/suche-nach-stammbucheintraegen.html?permaLink=1596_wicken;189,,
letter-hamburg-senate-1599,1599-1600,"Letter to the Mayors and Council of Hamburg, from Benatky, 1599/1600 — surviving original (Staatsarchiv Hamburg)",administrative document,"administrative document, correspondence",Exile / late,autograph signature only,probable,B,extant,Staatsarchiv Hamburg,Hamburg,Ad CI. VII Lib Ea Pars 2 (Transito u. Porte-franco),https://tekstnet.dk/books/brahe-t_letters/brahe-t_15990929001/,,
