record_key,date_iso,date_raw,calendar,name_as_written,name_expanded,familia_id,viaf_id,standing,kind,reading,origin_or_destination,diary_text,source,page_1876,scan_page,page_basis,grade
d-1587-06-24-a,1587-06-24,24 Jun 1587,Julian,Duncanus,Duncan Liddel,,37254124,scholar,arrival,"Scottish physician and mathematician visited; footnote identifies him as 'Duncanus Liddel fra Skotland, Professor i Helmstädt'",Scotland,Duncanus venit,FRIIS1876,89,99,note located on the page,A
d-1587-07-24-a,1587-07-24,24 Jul 1587,Julian,Anglus ille,That Englishman (recurring visitor; unidentified),,,unknown,arrival,The Englishman (previously known to Tycho) came to Uraniborg,England,Anglus ille venit Uraniburgum.,FRIIS1876,91,101,note located on the page,A
d-1587-08-20-a,1587-08-20,20 Aug 1587,Julian,Ge. Ranz.,Gert Rantzov (Lensmand of Kronborg; identified in footnote),,,nobility,arrival,"Gert Rantzov, Lensmand of Kronborg, visited",Kronborg,Ge. Ranz.,FRIIS1876,92,102,note located on the page,A
d-1587-08-21-a,1587-08-21,21 Aug 1587,Julian,Petrus Munck.,"Peder Munk (probably Peder Munk of Estvadgaard, Danish admiral)",,,nobility,arrival,Peder Munk visited Uraniborg,,Petrus Munck.,FRIIS1876,92,102,note located on the page,A
d-1587-09-30-a,1587-09-30,30 Sep 1587,Julian,Falco Geie.,Falco Gøye (friend and relative of Tycho; identified in footnote),,,nobility,arrival,Falco Gøye visited Uraniborg,,Falco Geie.,FRIIS1876,94,104,note located on the page,A
d-1587-10-17-a,1587-10-17,17 Oct 1587,Julian,Hans Spegell.,Hans Spegel (of Borreby; Lensmand of Gladsaxe; identified in footnote),,,nobility,arrival,Hans Spegel visited Uraniborg,,Hans Spegell.,FRIIS1876,95,105,note located on the page,A
d-1588-02-01-a,1588-02-01,1 Feb 1588,Julian,D. N.,D. N. (probably Nicolaus Krag or another 'D. N.' associate),,,scholar,arrival,D. N. came to Uraniborg,,D. N. venit.,FRIIS1876,100,110,note located on the page,B
d-1588-02-17-a,1588-02-17,17 Feb 1588,Julian,D. N.,D. N. (probably Nicolaus Krag or another 'D. N.' associate),,,scholar,departure,D. N. departed,,D. N. abiit.,FRIIS1876,101,111,note located on the page,B
d-1588-03-05-a,1588-03-05,5 Mar 1588,Julian,Fraterculus,Fraterculus (little brother; probably a younger brother of Tycho),,,family,arrival,Tycho's little brother came,,Fraterculus venit.,FRIIS1876,102,112,note located on the page,B
d-1588-03-24-a,1588-03-24,24 Mar 1588,Julian,Gellius; Otto Tot,Gellius Sascerides (Tycho's assistant; departed); Otto Thott of Eriksholm (died; footnote: buried 5 May 1588; husband of Tycho's sister Sophia),COR_GELLIUS_SASCERIDES,,scholar,event,Gellius Sascerides departed; Otto Thott died on this day (buried 5 May 1588),,Gellius abiit. Otto Tot obiit.,FRIIS1876,103,113,note located on the page,A
d-1588-03-26-a,1588-03-26,26 Mar 1588,Julian,H. Speget.,Hans Spegel (of Borreby; Lensmand of Gladsaxe),,,nobility,arrival,Hans Spegel visited,,H. Speget.,FRIIS1876,103,113,note located on the page,B
d-1588-05-01-a,1588-05-01,1 May 1588,Julian,Stud. 3.,Three students (unidentified),,,scholar,arrival,Three students came to Uraniborg,,Stud. 3.,FRIIS1876,105,115,note located on the page,B
d-1588-05-27-a,1588-05-27,27 May 1588,Julian,Henricus Rantzou.,Heinrich Rantzau (Governor of Holstein; patron of scholars; humanist),COR_HENRIK_RANTZAU,17231124,nobility,arrival,Heinrich Rantzau visited Uraniborg,,Henricus Rantzou.,FRIIS1876,106,116,note located on the page,A
d-1588-06-01-a,1588-06-01,1 Jun 1588,Julian,D. Nie.,D. Nicolaus (probably Nicolaus Krag),,,scholar,arrival,D. Nicolaus came to Uraniborg,,D. Nie.,FRIIS1876,106,116,note located on the page,B
d-1588-06-07-a,1588-06-07,7 Jun 1588,Julian,Duncanus,"Duncan Liddel (Scottish physician and mathematician; footnote: 'Duncanus Liddel fra Skotland, Professor i Helmstädt')",,37254124,scholar,arrival,Duncan Liddel came from Helsingør,Helsingør,Hel. V. Duncanus.,FRIIS1876,107,117,note located on the page,A
d-1588-06-26-a,1588-06-26,26 Jun 1588,Julian,Petrus Gyldenstern; alii ex Mechelburgh,Peder Gyldenstierne; others from Mecklenburg,,,nobility,arrival,Peder Gyldenstierne with others from Mecklenburg were present,Mecklenburg,Petrus Gyldenstern aderat et alii ex Mechelburgh.,FRIIS1876,107,117,note located on the page,A
d-1588-07-02-a,1588-07-02,2 Jul 1588,Julian,5 pereg. aulici ex Kronborig,Five court travelers from Kronborg (unidentified),,,nobility,arrival,Five court travelers came from Kronborg,Kronborg,5 pereg. aulici ex Kronborig.,FRIIS1876,108,118,note located on the page,A
d-1588-07-06-a,1588-07-06,6 Jul 1588,Julian,H. Veleius.,H. Velleius (unidentified; possibly connected with Andreas Velleius),,,unknown,arrival,H. Velleius visited,,H. Veleius.,FRIIS1876,108,118,note located on the page,B
d-1588-07-08-a,1588-07-08,8 Jul 1588,Julian,Cancelarius Georg Ros.,Niels Kaas (Chancellor); Jørgen Rosenkrantz (Privy Councillor),,,nobility,arrival,The diary writes 'Cancelarius Georg Ros.'; the edition's corrigenda identify the visitors as the Chancellor Niels Kaas and the Privy Councillor Jørgen Rosenkrantz.,,Cancelarius Georg Ros.,FRIIS1876,108,118,note located on the page,A
d-1588-07-09-a,1588-07-09,9 Jul 1588,Julian,Angli,Englishmen (unidentified group),,,unknown,arrival,Englishmen were present at Uraniborg,England,Angli aderant.,FRIIS1876,108,118,note located on the page,B
d-1588-08-06-a,1588-08-06,6 Aug 1588,Julian,Theodorus,Theodorus (unidentified; possibly Theodor Pontanus or another associate),,,unknown,arrival,Theodorus came to Uraniborg,,Theodorus hue venit.,FRIIS1876,110,120,note located on the page,A
d-1589-03-02-a,1589-03-02,2 Mar 1589,Julian,Martinus Ingeldi,Martinus Ingeldi (probably a Tycho disciple; identified in footnote),,,scholar,arrival,Martinus Ingeldi came to Uraniborg,,Martinus Ingeldi venit.,FRIIS1876,119,129,note located on the page,A
d-1589-04-11-a,1589-04-11,11 Apr 1589,Julian,Arizold. Wit.,Arild Huitfeldt (Danish historian and statesman; identified in footnote),,,nobility,arrival,Arild Huitfeldt came to Uraniborg,,Arizold. Wit. ven.,FRIIS1876,121,131,day's entry on the page,A
d-1589-04-12-a,1589-04-12,12 Apr 1589,Julian,Ariz.; Otto Islán.,Arild Huitfeldt (departed); Odd Einarsen (= Otto Islandiæ; formerly Tycho's disciple; later Superintendent in Iceland; identified in footnote),,,scholar,arrival,Arild Huitfeldt departed; Odd Einarsen (Otto Islandiæ) came,,Ariz. ab. — Otto Islán. ven.,FRIIS1876,122,132,note located on the page,A
d-1589-05-14-a,1589-05-14,14 May 1589,Julian,Axel Gylclenst.; Georg. Brahe; Domina; P. Jac.; D. Isaach de Landsk.,Axel Gyldenstierne; Jørgen Brahe with his wife Ingeborg Parsberg; Peder Jacobsen Flemløse (Tycho's disciple); Isak Olsen from Landskrona,COR_AXEL_GYLDENSTIERNE,,nobility,arrival,"Axel Gyldenstierne, Jørgen Brahe with wife, Peder Jacobsen Flemløse, and Isak Olsen from Landskrona came",Landskrona,Venere Axel Gylclenst. Georg. Brahe cum Domina et P. Jac. och D. Isaach de: Landsk.,FRIIS1876,124,134,note located on the page,A
d-1589-05-29-a,1589-05-29,29 May 1589,Julian,Soph. Brahe; Tag. F.,"Sophia Brahe (Tycho's sister); Tage Thott (her son, born 1580, identified in footnote)",COR_SOPHIE_BRAHE,,family,arrival,Sophia Brahe came with her son Tage Thott,,Soph. Brahe cum Tag. F.,FRIIS1876,125,135,note located on the page,A
d-1589-06-08-a,1589-06-08,8 Jun 1589,Julian,And. Sev. Wel.,Anders Sørensen Vedel (Royal Historiographer; identified in footnote),COR_ANDERS_SØRENSEN_VEDEL,,scholar,arrival,Anders Sørensen Vedel came to Uraniborg,,And. Sev. Wel. ven.,FRIIS1876,126,136,note located on the page,A
d-1589-06-09-a,1589-06-09,9 Jun 1589,Julian,Frid. Rosenkr.; J. Resen; Elias,Frederik Rosenkrantz; Hans Paulsen Resen (later Bishop of Sjælland); Elias Olsen Morsing (Tycho's disciple),,,nobility,arrival,Frederik Rosenkrantz came with Hans Paulsen Resen and Elias Olsen Morsing,,Venit Frid. Rosenkr. cum J. Resen et Elias.,FRIIS1876,126,136,note located on the page,A
d-1589-06-13-a,1589-06-13,13 Jun 1589,Julian,"Dominus Lauren., past. in Scan.","Lord Laurentius, pastor in Scania (unidentified)",,,clergy,arrival,"Lord Laurentius, pastor in Scania, came",Scania,"Vemi Dominus Lauren.., past, in Scan.",FRIIS1876,126,136,note located on the page,B
d-1589-07-14-a,1589-07-14,14 Jul 1589,Julian,4 Scoti nob.,Four Scottish nobles (unidentified),,,nobility,arrival,Four Scottish nobles came and departed the same day,Scotland,Venerunt 4 Scoti nob. ab.,FRIIS1876,128,138,note located on the page,A
d-1589-07-25-a,1589-07-25,25 Jul 1589,Julian,Peregrinus nomine,"One named Peregrinus (possibly Peregrine Bertie, Lord Willoughby, English ambassador; identified tentatively in footnote)",,,nobility,arrival,One called Peregrinus visited Uraniborg,,Peregrinus nomine venit.,FRIIS1876,129,139,note located on the page,B
d-1589-08-04-a,1589-08-04,4 Aug 1589,Julian,Baldassar nitzuitz de Oberlautznitz,Balthasar Nitzewitz from Upper Lusatia (learned nobleman; identified in footnote as 'Baldassar nitzuitz'),,,nobility,arrival,Learned nobleman Balthasar Nitzewitz from Upper Lusatia came,Upper Lusatia,Venit nobilis doctus d Oberlautznitz Baldassar nitzuitz nomine.,FRIIS1876,130,140,note located on the page,B
d-1589-08-07-a,1589-08-07,7 Aug 1589,Julian,Soph. S. T.,Sophia Brahe (Soror = sister of Tycho),COR_SOPHIE_BRAHE,,family,arrival,"Sophia Brahe, Tycho's sister, came",,Soph. S. T. venit.,FRIIS1876,130,140,note located on the page,A
d-1589-08-12-a,1589-08-12,12 Aug 1589,Julian,"M. Ludolphus, Poeta Magdeburg.","Magister Ludolphus, poet from Magdeburg (unidentified)",,,scholar,arrival,"Student Magister Ludolphus, poet from Magdeburg, came",Magdeburg,"Venit stud. M. Ludolphus, Poeta Magdeburg.",FRIIS1876,130,140,note located on the page,A
d-1589-08-17-a,1589-08-17,17 Aug 1589,Julian,Plures; Ericus Langius,Several visitors came with Erik Lange (footnote: later betrothed to Tycho's sister Sophie Brahe),FAM_ERIK_LANGE,,nobility,arrival,Several visitors came with Erik Lange,,Plures venerunt cum Erico Langio.,FRIIS1876,131,141,note located on the page,B
d-1589-10-10-a,1589-10-10,10 Oct 1589,Julian,vx. frat. Georg.; Stenus Maltess.,Wife of Jørgen Brahe (= Ingeborg Parsberg); Steen Maltesen Sehested (Lensmand of Kronborg; identified in footnote),,,nobility,arrival,"Wife of Jørgen Brahe came with Steen Maltesen Sehested, Lensmand of Kronborg",,Ven. vx. frat. Georg. cum Stenone Maltess.,FRIIS1876,134,144,note located on the page,A
d-1589-10-20-a,1589-10-20,20 Oct 1589,Julian,D. Nie. Crag.,D. Nicolaus Krag (Danish humanist scholar; visited Uraniborg multiple times),COR_NIELS_KRAG,,scholar,arrival,D. Nicolaus Krag came to Uraniborg,,D. Nie. Crag. v.,FRIIS1876,134,144,note located on the page,A
d-1590-02-09-a,1590-02-09,9 Feb 1590,Julian,Soph. Sor. T.,Sophia Brahe (Soror = sister of Tycho),COR_SOPHIE_BRAHE,,family,arrival,"Sophia Brahe, Tycho's sister, came",,Soph. Sor. T. V.,FRIIS1876,141,151,note located on the page,A
d-1590-02-13-a,1590-02-13,13 Feb 1590,Julian,Soph.,Sophia Brahe (Tycho's sister),COR_SOPHIE_BRAHE,,family,departure,Sophia Brahe departed,,Soph. ab.,FRIIS1876,141,151,note located on the page,A
d-1590-03-08-a,1590-03-08,8 Mar 1590,Julian,N.; Sor. T.,N. (probably Nicolaus Krag); Sophia Brahe (Soror/sister of Tycho),,,family,arrival,N. [Nicolaus] and Sophia Brahe came,,N. Sor. T. ven.,FRIIS1876,142,152,note located on the page,B
d-1590-03-10-a,1590-03-10,10 Mar 1590,Julian,Eric. Lang.,Erik Lange (Danish nobleman; later betrothed to Sophia Brahe),FAM_ERIK_LANGE,,nobility,arrival,Erik Lange came to Uraniborg,,Eric. Lang. venit.,FRIIS1876,143,153,note located on the page,A
d-1590-03-11-a,1590-03-11,11 Mar 1590,Julian,Elias,Elias Olsen Morsing,MORSING,,staff,death,Death of Tycho's assistant Elias Olsen Morsing at Uraniborg,,Elias obiit,FRIIS1876,143,153,note located on the page,A
d-1590-03-14-a,1590-03-14,14 Mar 1590,Julian,Steno Malteson; E. Lange; Soph. S. Tych.,Steen Maltesen Sehested (Lensmand of Kronborg); Erik Lange; Sophia Brahe (sister of Tycho),,,nobility,departure,Steen Maltesen came and departed together with Erik Lange and Sophia Brahe,,Steno Malteson venit et abiit cum E. Lange et Soph. S. Tych.,FRIIS1876,143,153,note located on the page,A
d-1590-03-18-a,1590-03-18,18 Mar 1590,Julian,Soph. S.,Sophia Brahe (Sister; Tycho's sister),COR_SOPHIE_BRAHE,,family,arrival,Sophia Brahe came,,Soph. S. venit.,FRIIS1876,143,153,note located on the page,A
d-1590-03-19-a,1590-03-19,19 Mar 1590,Julian,Ericas Lange,Erik Lange (Danish nobleman; later betrothed to Sophia Brahe),FAM_ERIK_LANGE,,nobility,arrival,Erik Lange came to Uraniborg,,Ericas Lange v.,FRIIS1876,143,153,note located on the page,A
d-1590-03-20-a,1590-03-20,20 Mar 1590,Julian,Rex Scotiæ,James VI of Scotland,,88082612,royalty,arrival,King of Scots visited Uraniborg in the morning; shown the instruments and library,,Rex Scotiæ venit mane H. 8. abiit H. 3.,FRIIS1876,143,153,note located on the page,A
d-1590-03-20-b,1590-03-20,20 Mar 1590,Julian,Rex Scotiæ,James VI of Scotland,,88082612,royalty,departure,King of Scots departed Uraniborg at the third hour (3 PM); single-day visit,,Rex Scotiæ venit mane H. 8. abiit H. 3.,FRIIS1876,143,153,note located on the page,A
d-1590-04-06-a,1590-04-06,6 Apr 1590,Julian,Er. Lang.; Arn. flor.,Erik Lange (came and departed); Arnoldus Florentius (came; unidentified),FAM_ERIK_LANGE,,nobility,arrival,Erik Lange came and departed; Arnoldus Florentius came,,Er. Lang. venit et abiit. Arn. flor. ven.,FRIIS1876,144,154,note located on the page,A
d-1590-04-15-a,1590-04-15,15 Apr 1590,Julian,Er. Lang.; Soph. Br.,Erik Lange; Sophia Brahe (Tycho's sister),FAM_ERIK_LANGE,,family,arrival,Erik Lange and Sophia Brahe came,,Er. Lang. et Soph. Br. venere.,FRIIS1876,145,155,note located on the page,A
d-1590-04-23-a,1590-04-23,23 Apr 1590,Julian,Ericus Lange; Sophia Brahe; Andreas Velleius,"Erik Lange; Sophia Brahe; Andreas Velleius (= Anders Sørensen Vedel, Royal Historiographer; footnote: Wegener, 2nd ed. p. 161)",FAM_ERIK_LANGE,,family,arrival,"Erik Lange and Sophia Brahe came in the evening; also Anders Sørensen Vedel (Andreas Velleius), Royal Historiographer",,"Ericus Lange et Sophia Brahe peruesperi venerunt. Adueniebat etiam hoc die Andreas Velleius, Regius Historiographus.",FRIIS1876,145,155,note located on the page,A
d-1590-04-24-a,1590-04-24,24 Apr 1590,Julian,Comes ex comitatu Principis Brunsuicensis,Count and others from the suite of Prince of Brunswick; came from Helsingør and departed same hour,,,nobility,arrival,Count and others from Brunswick's suite came from Helsingør and departed,Helsingør,Comes et alii ex comitatu Principis Brunsuicensis Helsingorä accedebant discedebantque circa horam eodem.,FRIIS1876,145,155,note located on the page,A
d-1590-05-01-a,1590-05-01,1 May 1590,Julian,Sophia Soror Tych.,Sophia Brahe (Soror = sister of Tycho),COR_SOPHIE_BRAHE,,family,arrival,"Sophia Brahe, Tycho's sister, came in the evening",,Sophia Soror Tych. vesperi venit.,FRIIS1876,146,156,note located on the page,A
d-1590-05-04-a,1590-05-04,4 May 1590,Julian,Princeps Bronsigensis,"Henry Julius, Duke of Brunswick-Wolfenbüttel",,,royalty,arrival,Duke of Brunswick arrived with a retinue of nobles at the ninth hour (9 AM),,Princeps Bronsigensis comitatu nobilium hora nona accessit discessitque 5 circiter p. m.,FRIIS1876,147,157,note located on the page,A
d-1590-05-04-b,1590-05-04,4 May 1590,Julian,Princeps Bronsigensis,"Henry Julius, Duke of Brunswick-Wolfenbüttel",,,royalty,departure,Duke of Brunswick departed around the fifth hour in the afternoon (5 PM),,Princeps Bronsigensis comitatu nobilium hora nona accessit discessitque 5 circiter p. m.,FRIIS1876,147,157,note located on the page,A
d-1590-05-20-a,1590-05-20,20 May 1590,Julian,D. Nicolaus Krag.; M. Jonas; M. Michael; Laurentius Mul.,D. Nicolaus Krag; M. Jonas (= Jonas Venusinus per footnote); M. Michael; Laurentius Mul. — all from Copenhagen,COR_NIELS_KRAG,,scholar,arrival,"Nicolaus Krag, Jonas Venusinus, Michael, and Laurentius Mul came from Copenhagen",Copenhagen,"Hafnia nos inviserunt D. Nicolaus Krag. M. Jonas, M. Michael. Laurentius Mul.",FRIIS1876,148,158,note located on the page,A
d-1590-05-22-a,1590-05-22,22 May 1590,Julian,Scoti nobiles,Scottish nobles (unidentified group),,,nobility,arrival,Scottish nobles came in the evening,Scotland,Vesperi Scoti nobiles accesserunt.,FRIIS1876,148,158,note located on the page,A
d-1590-05-25-a,1590-05-25,25 May 1590,Julian,Sophia Brahe,Sophia Brahe (Tycho's sister),COR_SOPHIE_BRAHE,,family,arrival,Sophia Brahe came to Uraniborg,,Sophia Brahe hue accessit.,FRIIS1876,149,159,note located on the page,A
d-1590-05-31-a,1590-05-31,31 May 1590,Julian,Johannes Bilde; Mathias scriba; Mar.,Johannes Bilde (consobrinus = cousin of Tycho); Mathias the scribe (from Kronborg); Martinus [Ingeldi] returned with them,,,nobility,arrival,Johannes Bilde (Tycho's cousin) and Mathias the scribe came from Kronborg; Martinus returned with them,Kronborg,"Johannes Bilde, consobrinus Tychonis et Mathias scriba Coronia hue accesserunt circa horam 5 et cum iis Mar. rediit.",FRIIS1876,149,159,note located on the page,A
d-1590-06-03-a,1590-06-03,3 Jun 1590,Julian,M. Martinus Plecius; Johannes Oth,Magister Martinus Plecius (Rector of Haderslev School; footnote: later pastor in Schleswig; contributed Latin verses to Tycho's Epistolae astronomicae); Johannes Oth (court companion),,,scholar,arrival,Rector Martinus Plecius of Haderslev School arrived around midday with court companion Johannes Oth,,Accessit circa merid. M. Martinus Plecius rector Scholæ Hatersleviensis cum quodam comité áulico Johanne Oth.,FRIIS1876,150,160,note located on the page,A
d-1590-06-12-a,1590-06-12,12 Jun 1590,Julian,Jacobus Holst Haffniensis,"Jacobus Holst, merchant from Copenhagen",,,merchant,arrival,"Jacobus Holst, merchant from Copenhagen, came to Uraniborg",Copenhagen,Jacobus Holst Haffniensis mercator hue accessit.,FRIIS1876,150,160,note located on the page,A
d-1590-06-15-a,1590-06-15,15 Jun 1590,Julian,M. Christoph. Chymist.; M. Johan architectus,M. Christophorus the Chemist (unidentified; possibly a laboratory assistant); M. Johan the Architect (unidentified),,,scholar,arrival,M. Christophorus the Chemist and M. Johan the Architect came from Copenhagen,Copenhagen,Hafnia hue accesserunl M. Christoph. Chymist. M. Johan architectus.,FRIIS1876,151,161,note located on the page,A
d-1590-07-07-a,1590-07-07,7 Jul 1590,Julian,tabellar. Prag.,A messenger from Prague (unidentified),,,messenger,arrival,A messenger from Prague came to Uraniborg,Prague,Venil tabellar. Prag.,FRIIS1876,153,163,note located on the page,B
d-1590-07-13-a,1590-07-13,13 Jul 1590,Julian,Sophie B.; D. Nicolaus Crag.,Sophia Brahe (Tycho's sister); D. Nicolaus Krag,COR_SOPHIE_BRAHE,,family,arrival,Sophia Brahe and D. Nicolaus Krag came from Copenhagen,Copenhagen,Sophie B. et D. Nicolaus Crag. Hafnia advenerunl.,FRIIS1876,153,163,note located on the page,A
d-1590-07-22-a,1590-07-22,22 Jul 1590,Julian,Avlicus cimber Petrus civis Arhusiensis,"Petrus, a Jutland courtier and citizen of Aarhus",,,unknown,arrival,"A Jutland courtier named Petrus, citizen of Aarhus, came",Aarhus,Venit Avlicus cimber Petrus civis Arhusiensis.,FRIIS1876,154,164,note located on the page,A
d-1590-07-26-a,1590-07-26,26 Jul 1590,Julian,S. B.,Sophia Brahe (Tycho's sister),COR_SOPHIE_BRAHE,,family,arrival,Sophia Brahe came immediately after Tycho's departure,,Venit S. B. confestim post Tychonis discessum.,FRIIS1876,155,165,note located on the page,A
d-1590-07-27-a,1590-07-27,27 Jul 1590,Julian,tres studiosi Mgri. Argentinenses,Three Masters from Strasbourg (unidentified students),,,scholar,arrival,Three Masters from Strasbourg came to Uraniborg,Strasbourg,Venerunl tres studiosi Mgri. Argentinenses.,FRIIS1876,155,165,note located on the page,A
d-1590-08-01-a,1590-08-01,1 Aug 1590,Julian,Rothmannus,Christoph Rothmann (mathematician to Landgrave Wilhelm IV of Hesse-Kassel),COR_CHRISTOPHER_ROTHMANN,54259697,astronomer,arrival,"Tycho returned to Hven in the evening with Rothmann, the Landgrave's mathematician; visit of approximately one month",Kassel,"Rediit Tycho vesperi cum Rothmanno, Landtgravii Mathematico.",FRIIS1876,155,165,note located on the page,A
d-1590-08-03-a,1590-08-03,3 Aug 1590,Julian,M. Johannes Rungellius Isnachsensis; Johannes Hippius Bergensis ad Viram; Bertholdus Rudingerus Hertzfeldianus; Matthias Biotins Polonus,"Johannes Rungellius from Eisenach; Johannes Hippius from Berka an der Werra; Bertholdus Rudingery from Herzfeld; Matthias Flotius (the print reads 'Biotins'), a Pole — four German students",,,scholar,arrival,"Four German students came: Johannes Rungellius, Johannes Hippius, Bertholdus Rudingery, and Matthias Flotius (a Pole)",Germany,"Accesserunt quatuor studiosi Germani, M. Johannes Rungellius Isnachsensis, Johannes Hippius Bergensis ad Viram, Bertholdus Rudingerus Hertzfeldianus, Matthias Biotins Polonus.",FRIIS1876,156,166,note located on the page,B
d-1590-08-09-a,1590-08-09,9 Aug 1590,Julian,Guilihelmus Kett; Georgius Gedde; Christophorus a Valrott Borusius; Johannes Schrotten; Christophorus Siletius,Wilhelm Kett (English nobleman); Georgius Gedde (learned Scottish nobleman; previous visitor); Christophorus a Valrott (Prussian learned young man); Johannes Schrotten; Christophorus Siletius — lodged overnight,,,nobility,arrival,"Wilhelm Kett arrived with Georg Gedde (learned Scottish nobleman, previous visitor) and others; four more from Helsingør including Christophorus a Valrott, Johannes Schrotten, and Christophorus Siletius; all lodged overnight",Helsingør,"Accessit Guilihelmus Kett cum tribus aliis comitibus, inter qvos unus erat mercator Scotus, alter qui antea hic fuit, doctus nobilis vocatus Georgius Gedde. Hic discesserunt eadem vespera. Accesserunt et alii quatuor Helsingora, inter qvos unus, Christophorus a Valrott Borusius, doctus adolescens et peregrinus nobilis fuit. Johannes Schrotten, Christophorus Siletius; hi apud nos pernoctarunt.",FRIIS1876,156,166,note located on the page,A
d-1590-08-25-a,1590-08-25,25 Aug 1590,Julian,Hieronimus Mogaslerus,"Hieronymus Mogaslerus, German nobleman, envoy of Archduke Charles of Austria",,,diplomat,arrival,"Hieronymus Mogaslerus, envoy of Archduke Charles of Austria, came to Uraniborg",Austria,"Hic accessit nobilis quidam Germanus, Caroli Ducis Austria legatus. cui nomen Hieronimus Mogaslerus.",FRIIS1876,157,167,note located on the page,A
d-1590-08-27-a,1590-08-27,27 Aug 1590,Julian,nobilis germanis,A German nobleman (unidentified),,,nobility,arrival,A German nobleman came and departed,Germany,Venit nobilis germanis discessitque.,FRIIS1876,157,167,note located on the page,B
d-1590-09-01-a,1590-09-01,1 Sep 1590,Julian,Rothmannus,Christoph Rothmann,COR_CHRISTOPHER_ROTHMANN,54259697,astronomer,departure,Rothmann departed after approximately one month's stay at Uraniborg,Kassel,Abiit Rothmannus.,FRIIS1876,158,168,note located on the page,A
