no,record_key,dreyer_codex,shelfmark,institution,label,genre,originality,years,year_start,year_end,leaves_dreyer,leaves_catalogue,hand_grade,hand_primary,hand_candidates,copied_from,record_grade,status,facsimile,catalogue_record,catalogue_title,opera_omnia,dreyer_page,questions
11,O_GKS1829,L,GKS 1829 kvart,"Copenhagen, Royal Danish Library","Transcript of the 1585 observations (Dreyer's Codex L), with 1598–1600 calculations",transcript,contemporary copy,1585-1600,1585,1600,214 leaves,,C,,Christen Longomontanus,Cod. 10660,A,extant,,https://soeg.kb.dk/permalink/45KBDK_KGL/1o797oc/alma99122876151305763,"Tychonis Brahei Fasciculus Observationum Solis et Planetarum, subjuncto calculo Planetarum ex observationibus annorum 1599 et 1600.",X pp. 349–427 (supplement),XX,Q_1585_CODEXL; Q_GKS1829
12,O_GKS1830,M,GKS 1830 kvart,"Copenhagen, Royal Danish Library",Theory of Sun; lunar/planetary obs 1585–1593,working volume,original,1585-1593,1585,1593,"145 leaves, compiled from several fascicles",,,,,,A,extant,,https://soeg.kb.dk/permalink/45KBDK_KGL/1o797oc/alma99122876035505763,"Fasciculus continens Theoriam Solis per observationes Lunæ ad illum et Fixas, cum observationibus Planetarum ab Ao 1585 ad 1593.",,XXI,Q_GKS1829
13,O_GKS1826,N,GKS 1826 kvart,"Copenhagen, Royal Danish Library",Seven comets 1577–1596 (mostly Tycho's hand; leaf 56 also Wittich's),comet book,original,1577-1596,1577,1596,"197 leaves, several fascicles",,,,,,A,extant,,https://soeg.kb.dk/permalink/45KBDK_KGL/1o797oc/alma99122876047805763,"Tychonis Brahei Observationes septem Cometarum ab anno 1577 ad 1596 Uraniburgi, etiam magna ex parte Autogr.",XIII pp. 287–393 (base text),XXII,
14,O_GKS315,O,GKS 315 folio,"Copenhagen, Royal Danish Library",Comets of 1590 & 1596,comet book,original,1590-1596,1590,1596,"20 leaves, paginated 1–40 in modern times",,,,,,A,extant,,https://soeg.kb.dk/permalink/45KBDK_KGL/1o797oc/alma99122875878605763,"Tychonis Brahei Observationes Cometæ anni 1590 a 23. Febr. ad 6. Martii, ut et Cometæ mense Julio 1596 apparentis.",XIII pp. 287–393 (base text),XXIII,
15,O_GKS1827,P,GKS 1827 kvart,"Copenhagen, Royal Danish Library",Seven comets 1577–1596 (other hand),transcript,contemporary copy,1577-1596,1577,1596,143 leaves + a glued-in sheet of Hagecius's remarks on the 1580 comet,,C,,Christen Longomontanus,"GKS 1826 kvart, GKS 315 folio",A,extant,,https://soeg.kb.dk/permalink/45KBDK_KGL/1o797oc/alma99122876008905763,Tychonis Brahei Observationes septem Cometarum ab anno 1577 ad a. 1596. Alia (forte Christ. Longomontani) manu.,XIII pp. 287–393 (base text),XXIV,
16,O_GKS310,,GKS 310 folio,"Copenhagen, Royal Danish Library",Collectio observationum (Bartholin),compilation,posthumous copy,1563-,1563,,,,,,,"[lost], GKS 1824 kvart",A,extant,,https://soeg.kb.dk/permalink/45KBDK_KGL/1o797oc/alma99122749069605763,"Collectio observationum Tychonis Brahei ab Anno 1563 per Erasm. Bartholinum, præmissa ejusdem narratione de observationibus Tychonianis.",X pp. 1–54 (supplement),X,
17,O_GKS1831,,GKS 1831 kvart,"Copenhagen, Royal Danish Library",Brass-quadrant observations 1589,instrument book,original,1589,1589,1589,,,,,,,A,extant,,https://soeg.kb.dk/permalink/45KBDK_KGL/1o797oc/alma99122876150505763,"Observationes quædam astronomicæ habitæ 1589 per Quadrantem orichalcicum Tychonis Brahe, divisionum satis capacem, in diversis locis Daniæ ad eruendas eorum Poli elevationes.",,,
18,O_LOST_8VO,,[lost],lost,Lost 8vo observation volume 1563–74,original protocol,original,1563-1574,1563,1574,,,,,,,B,lost,,,,,VIII,Q_LOST_8VO
19,O_COD10657,V,Cod. 10657,"Vienna, Austrian National Library",Fair-copy observations 1582 (apographum),fair copy,contemporary copy,1582,1582,1582,,216 leaves,D,,Peder Flemløse; Gellius Sascerides; Tycho Brahe,GKS 311 folio,A,extant,,http://data.onb.ac.at/rec/AC13948895,Observationes astronomicae a. 1582 factae Vranoburgi in insula Huena. Vol. I.,,XXIV,Q_APOGRAPHA_COLLATE; Q_APOGRAPHA_SCRIBES; Q_BARTHOLIN_SPECIMEN_COLLATE; Q_DIGITISE_VIENNA; Q_VIENNA_APOGRAPHA
20,O_COD10658,V,Cod. 10658,"Vienna, Austrian National Library",Fair-copy observations 1583 (apographum),fair copy,contemporary copy,1583,1583,1583,,173 leaves,D,,Elias Morsing; Peder Flemløse; Gellius Sascerides; Tycho Brahe,GKS 311 folio,A,extant,,http://data.onb.ac.at/rec/AC13955722,Observationes astronomicae a. 1583 factae Vranoburgi in insula Huena. Vol. II.,,XXIV,
21,O_COD10659,V,Cod. 10659,"Vienna, Austrian National Library",Fair-copy observations 1584 (apographum),fair copy,contemporary copy,1584,1584,1584,,239 leaves,D,,Elias Morsing; Peder Flemløse; Gellius Sascerides; Hans Crol; Tycho Brahe,GKS 311 folio,A,extant,,http://data.onb.ac.at/rec/AC13955723,Observationes astronomicae a. 1584 factae Vranoburgi in insula Huena. Vol. III.,,XXIV,
22,O_COD10660,V,Cod. 10660,"Vienna, Austrian National Library",Fair-copy observations 1585 (apographum),fair copy,contemporary copy,1585,1585,1585,,250 leaves,D,,Elias Morsing; Peder Flemløse; Gellius Sascerides; Hans Crol; Tycho Brahe,GKS 311 folio,A,extant,,http://data.onb.ac.at/rec/AC13955724,Observationes astronomicae a. 1585 factae Vranoburgi in insula Huena. Vol. IV.,,XXIV,
23,O_COD10661,V,Cod. 10661,"Vienna, Austrian National Library",Fair-copy observations 1586 (apographum),fair copy,contemporary copy,1586,1586,1586,,369 leaves,D,,Elias Morsing; Peder Flemløse; Gellius Sascerides; Hans Crol; Tycho Brahe,GKS 311 folio,A,extant,,http://data.onb.ac.at/rec/AC13955725,Observationes astronomicae a. 1586 factae Vranoburgi in insula Huena. Vol. V.,,XXIV,Q_SPOTCOLLATE
24,O_COD10662,V,Cod. 10662,"Vienna, Austrian National Library",Fair-copy observations 1587 (apographum),fair copy,contemporary copy,1587,1587,1587,,406 leaves,D,,Elias Morsing; Peder Flemløse; Hans Crol; Tycho Brahe,GKS 312 folio,A,extant,,http://data.onb.ac.at/rec/AC13955726,Observationes astronomicae a. 1587 factae Vranoburgi in insula Huena. Vol. VI.,,XXIV,
25,O_COD10663,V,Cod. 10663,"Vienna, Austrian National Library",Fair-copy observations 1588 (apographum),fair copy,contemporary copy,1588,1588,1588,,296 leaves,D,,Elias Morsing; Peder Flemløse; Hans Crol; Tycho Brahe,GKS 312 folio,A,extant,,http://data.onb.ac.at/rec/AC13955727,Observationes astronomicae a. 1588 factae Vranoburgi in insula Huena. Vol. VII.,,XXIV,
26,O_COD10664,V,Cod. 10664,"Vienna, Austrian National Library",Fair-copy observations 1589 (apographum),fair copy,contemporary copy,1589,1589,1589,,214 leaves,C,,Elias Morsing; Peder Flemløse; Hans Crol; Christen Longomontanus,GKS 312 folio,A,extant,,http://data.onb.ac.at/rec/AC13955728,Observationes astronomicae a. 1589 factae Vranoburgi in insula Huena. Vol. VIII.,,XXIV,
27,O_COD10665,V,Cod. 10665,"Vienna, Austrian National Library",Fair-copy observations 1590 (apographum),fair copy,contemporary copy,1590,1590,1590,,264 leaves,B,Christen Longomontanus,Hans Crol; Peder Flemløse,GKS 313 folio,A,extant,,http://data.onb.ac.at/rec/AC13955729,Observationes astronomicae a. 1590 factae Vranoburgi in insula Huena. Vol. IX.,,XXIV,
28,O_COD10666,V,Cod. 10666,"Vienna, Austrian National Library",Fair-copy observations 1591 (apographum),fair copy,contemporary copy,1591,1591,1591,,257 leaves,B,Christen Longomontanus,Hans Crol,GKS 313 folio,A,extant,,http://data.onb.ac.at/rec/AC13955730,Observationes astronomicae a. 1591 factae Vranoburgi in insula Huena. Vol. X.,,XXIV,
29,O_COD10667,V,Cod. 10667,"Vienna, Austrian National Library",Fair-copy observations 1592 (apographum),fair copy,contemporary copy,1592,1592,1592,,147 leaves,B,Christen Longomontanus,,GKS 313 folio,A,extant,,http://data.onb.ac.at/rec/AC13955731,Observationes astronomicae a. 1592 factae Vranoburgi in insula Huena. Vol. XI.,,XXIV,Q_1593; Q_1593_LOSS
30,O_COD10668,V,Cod. 10668,"Vienna, Austrian National Library",Fair-copy observations 1594 (apographum),fair copy,contemporary copy,1594,1594,1594,,144 leaves,B,Christen Longomontanus,,GKS 313 folio,A,extant,,http://data.onb.ac.at/rec/AC13955732,Observationes astronomicae a. 1594 factae Vranoburgi in insula Huena. Vol. XII.,,XXIV,Q_1593; Q_1593_LOSS
31,O_COD10669,V,Cod. 10669,"Vienna, Austrian National Library",Fair-copy observations 1595 (apographum),fair copy,contemporary copy,1595,1595,1595,,284 leaves,B,Christen Longomontanus,,GKS 314 folio,A,extant,,http://data.onb.ac.at/rec/AC13955733,Observationes astronomicae a. 1595 factae Vranoburgi in insula Huena. Vol. XIII.,,XXIV,
32,O_COD10670,V,Cod. 10670,"Vienna, Austrian National Library",Fair-copy observations 1596 (apographum),fair copy,contemporary copy,1596,1596,1596,,199 leaves,C,,Christen Longomontanus; Johannes Eriksen,GKS 316 folio,A,extant,,http://data.onb.ac.at/rec/AC13955734,Observationes astronomicae a. 1596 factae Vranoburgi in insula Huena. Vol. XIV.,,XXIV,
33,O_COD10671,V,Cod. 10671,"Vienna, Austrian National Library",Fair-copy observations 1597 (apographum),fair copy,contemporary copy,1597,1597,1597,,168 leaves,C,,Christen Longomontanus; Johannes Eriksen,GKS 316 folio,A,extant,,http://data.onb.ac.at/rec/AC13955735,Observationes astronomicae a. 1597 factae Vranoburgi in insula Huena. Vol. XV.,,XXIV,
34,O_COD10672,V,Cod. 10672,"Vienna, Austrian National Library",Fair-copy observations 1598 (apographum),fair copy,contemporary copy,1598,1598,1598,,154 leaves,D,,Johannes Eriksen; Frans Tengnagel,GKS 317 folio,A,extant,,http://data.onb.ac.at/rec/AC13955736,Observationes astronomicae a. 1598 factae Vranoburgi in insula Huena. Vol. XVI.,,XXIV,
35,O_COD10673,V,Cod. 10673,"Vienna, Austrian National Library",Fair-copy observations 1599 (apographum),fair copy,contemporary copy,1599,1599,1599,,181 leaves,D,,Frans Tengnagel; Johannes Eriksen,GKS 317 folio,A,extant,,http://data.onb.ac.at/rec/AC13956230,Observationes astronomicae a. 1599 factae Vranoburgi in insula Huena. Vol. XVII.,,XXIV,
36,O_COD10674,V,Cod. 10674,"Vienna, Austrian National Library",Fair-copy observations 1600 (apographum),fair copy,contemporary copy,1600,1600,1600,,259 leaves,C,,Christen Longomontanus; Johannes Eriksen; Frans Tengnagel,GKS 318 folio,A,extant,,http://data.onb.ac.at/rec/AC13956231,Observationes astronomicae a. 1600 factae Vranoburgi in insula Huena. Vol. XVIII.,,XXIV,
37,O_COD10675,V,Cod. 10675,"Vienna, Austrian National Library",Fair-copy observations 1601 (apographum),fair copy,contemporary copy,1601,1601,1601,,152 leaves,C,,Christen Longomontanus; Johannes Eriksen; Frans Tengnagel,GKS 318 folio,A,extant,,http://data.onb.ac.at/rec/AC13956232,Observationes astronomicae a. 1601 factae Vranoburgi in insula Huena. Vol. XIX.,,XXIV,Q_APOGRAPHA_SCRIBES; Q_DIGITISE_VIENNA
38,O_COD10709,V¹,Cod. 10709,"Vienna, Austrian National Library","Catalogue of the stars near the zodiac, 1589 (Dreyer's Codex V¹)",star catalogue,original,1589,1589,1589,,49 leaves,,,,,A,extant,,http://data.onb.ac.at/rec/AC13947891,Catalogus exhibens omnium stellarum dodecatemorii ascensiones rectas et declinationes etc. a. 1589 Vranoburgii.,XI pp. 383–412 (base text),XXV,
