row_key,volume,printed_page,year,body,kind,set_from,summary,archive_org
p-X-115,X,115,1581,,observation,GKS 1825 kvart,"observations of year 1581, two-clock star log + theorem head",https://archive.org/details/operaomniaedidit10brahuoft/page/n157
p-X-117,X,117,1581,,observation,GKS 1825 kvart,"observations of year 1581, cont. + October",https://archive.org/details/operaomniaedidit10brahuoft/page/n159
p-X-118,X,118,1581,,observation,GKS 1825 kvart,"observations of year 1581, two-clock star log",https://archive.org/details/operaomniaedidit10brahuoft/page/n160
p-X-119,X,119,1581,,observation,GKS 1825 kvart,"observations of year 1581, cont. + Oct 23 & 30",https://archive.org/details/operaomniaedidit10brahuoft/page/n161
p-X-120,X,120,1581,,observation,GKS 1825 kvart,"observations of year 1581, Nov–Dec",https://archive.org/details/operaomniaedidit10brahuoft/page/n162
p-X-123,X,123,1581,,observation,GKS 1825 kvart,"observations of year 1581, December star list",https://archive.org/details/operaomniaedidit10brahuoft/page/n165
p-X-131,X,131,1582,,observation,GKS 311 folio,observations of year 1582 (Feb–Mar),https://archive.org/details/operaomniaedidit10brahuoft/page/n173
p-X-132,X,132,1582,,observation,GKS 311 folio,observations of year 1582 (March),https://archive.org/details/operaomniaedidit10brahuoft/page/n174
p-X-133,X,133,1582,,observation,GKS 311 folio,observations of year 1582 (Mar–May),https://archive.org/details/operaomniaedidit10brahuoft/page/n175
p-X-134,X,134,1582,,observation,GKS 311 folio,observations of year 1582 (Jun–Oct),https://archive.org/details/operaomniaedidit10brahuoft/page/n176
p-X-136,X,136,1582,Sun,observation,GKS 311 folio,1582 reduced solar table,https://archive.org/details/operaomniaedidit10brahuoft/page/n178
p-X-137,X,137,1582,Sun,observation,GKS 311 folio,"1582 reduced solar table, cont.",https://archive.org/details/operaomniaedidit10brahuoft/page/n179
p-X-138,X,138,1582,Moon,observation,GKS 311 folio,1582 reduction tables + Observationes Lunae begin,https://archive.org/details/operaomniaedidit10brahuoft/page/n180
p-X-143,X,143,1582,Moon,observation,GKS 311 folio,1582 lunar observations (Feb–Mar),https://archive.org/details/operaomniaedidit10brahuoft/page/n185
p-X-144,X,144,1582,Moon,observation,GKS 311 folio,1582 lunar observations (Mar),https://archive.org/details/operaomniaedidit10brahuoft/page/n186
p-X-148,X,148,1582,Moon,observation,GKS 311 folio,1582 lunar observations (Oct–Nov),https://archive.org/details/operaomniaedidit10brahuoft/page/n190
p-X-151,X,151,1582,Moon,observation,GKS 311 folio,1582 lunar reductions,https://archive.org/details/operaomniaedidit10brahuoft/page/n193
p-X-152,X,152,,Moon,observation,GKS 311 folio,"end of lunar, then Observationes reliquorum quinque planetarum",https://archive.org/details/operaomniaedidit10brahuoft/page/n194
p-X-153,X,153,1582,Venus,observation,GKS 311 folio,1582 Venus observations (Feb),https://archive.org/details/operaomniaedidit10brahuoft/page/n195
p-X-154,X,154,1582,Venus,observation,GKS 311 folio,1582 Venus observations (Feb 21–24),https://archive.org/details/operaomniaedidit10brahuoft/page/n196
p-X-157,X,157,1582,Venus,observation,GKS 311 folio,1582 Venus observations (Feb 26 – Mar 1),https://archive.org/details/operaomniaedidit10brahuoft/page/n199
p-X-159,X,159,1582,Venus,observation,GKS 311 folio,1582 Venus observations (Mar 6–9),https://archive.org/details/operaomniaedidit10brahuoft/page/n201
p-X-160,X,160,1582,Venus,observation,GKS 311 folio,1582 Venus observations (Mar 14–15),https://archive.org/details/operaomniaedidit10brahuoft/page/n202
p-X-161,X,161,1582,Venus,observation,GKS 311 folio,1582 Venus observations (Mar 16–22),https://archive.org/details/operaomniaedidit10brahuoft/page/n203
p-X-162,X,162,1582,Venus,observation,GKS 311 folio,1582 Venus observations (Mar 22–26),https://archive.org/details/operaomniaedidit10brahuoft/page/n204
p-X-163,X,163,1582,Venus,observation,GKS 311 folio,1582 Venus observations (Mar 26–29),https://archive.org/details/operaomniaedidit10brahuoft/page/n205
p-X-165,X,165,1582,Venus,observation,GKS 311 folio,1582 Venus & Mercury observations (Apr 1–3),https://archive.org/details/operaomniaedidit10brahuoft/page/n207
p-X-166,X,166,1582,Venus,observation,GKS 311 folio,1582 Venus & Mercury observations (Apr 3–6),https://archive.org/details/operaomniaedidit10brahuoft/page/n208
p-X-167,X,167,1582,Venus,observation,GKS 311 folio,1582 Venus & Mercury observations (Apr 6–9),https://archive.org/details/operaomniaedidit10brahuoft/page/n209
p-X-168,X,168,1582,Venus,observation,GKS 311 folio,1582 Venus & Mercury observations (Apr 9–12),https://archive.org/details/operaomniaedidit10brahuoft/page/n210
p-X-169,X,169,1582,Venus,observation,GKS 311 folio,1582 Venus observations (Apr 13–16),https://archive.org/details/operaomniaedidit10brahuoft/page/n211
p-X-170,X,170,1582,Venus,observation,GKS 311 folio,1582: Supputatio loci ♀ + Venus obs (Apr 16–21),https://archive.org/details/operaomniaedidit10brahuoft/page/n212
p-X-171,X,171,1582,Venus,observation,GKS 311 folio,1582: Venus (Apr 23) then Saturn observations (Aug),https://archive.org/details/operaomniaedidit10brahuoft/page/n213
p-X-174,X,174,1582,Mars,observation,GKS 311 folio,1582 Saturn & Mars observations (Nov),https://archive.org/details/operaomniaedidit10brahuoft/page/n216
p-X-175,X,175,1582,Mars,observation,GKS 311 folio,1582 Mars observations (Nov 24 – Dec 3),https://archive.org/details/operaomniaedidit10brahuoft/page/n217
p-X-176,X,176,1582,Mars,observation,GKS 311 folio,"1582 Mars observations (Dec, cont. + Dec 17)",https://archive.org/details/operaomniaedidit10brahuoft/page/n218
p-X-178,X,178,1582,Mars,observation,GKS 311 folio,"1582: end of Mars obs, then Observationes Stellarum Fixarum begin",https://archive.org/details/operaomniaedidit10brahuoft/page/n220
p-X-179,X,179,1582,,observation,GKS 311 folio,1582 fixed-star meridian altitudes (Jan 11–12),https://archive.org/details/operaomniaedidit10brahuoft/page/n221
p-X-180,X,180,1582,,observation,GKS 311 folio,1582 fixed-star meridian altitudes (Jan 12–17),https://archive.org/details/operaomniaedidit10brahuoft/page/n222
p-X-203,X,203,1582,Mars,observation,GKS 311 folio,1582 Mars-distance triangle computation,https://archive.org/details/operaomniaedidit10brahuoft/page/n245
p-X-207,X,207,,Venus,observation,GKS 311 folio,Quarundam Stellarum (Venus/Aldebaran reductions),https://archive.org/details/operaomniaedidit10brahuoft/page/n249
p-X-208,X,208,,Venus,observation,GKS 311 folio,De Ascensionibus Rectis (Venus/Aldebaran reductions),https://archive.org/details/operaomniaedidit10brahuoft/page/n250
p-X-209,X,209,,Venus,observation,GKS 311 folio,"Quarundam Stellarum (Venus reductions, Mar 5)",https://archive.org/details/operaomniaedidit10brahuoft/page/n251
p-X-210,X,210,,Venus,observation,GKS 311 folio,"De Ascensionibus Rectis (Venus reductions, Mar 5)",https://archive.org/details/operaomniaedidit10brahuoft/page/n252
p-X-211,X,211,,Venus,observation,GKS 311 folio,"Quarundam Stellarum (Venus reductions, Mar 9)",https://archive.org/details/operaomniaedidit10brahuoft/page/n253
p-X-212,X,212,,Venus,observation,GKS 311 folio,"De Ascensionibus Rectis (Venus reductions, Mar 9, Ptolemaic)",https://archive.org/details/operaomniaedidit10brahuoft/page/n254
p-X-213,X,213,,Venus,observation,GKS 311 folio,"Quarundam Stellarum (Venus reductions, Mar 15)",https://archive.org/details/operaomniaedidit10brahuoft/page/n255
p-X-214,X,214,,Venus,observation,GKS 311 folio,"De Ascensionibus Rectis (Venus reductions, Mar 15–20)",https://archive.org/details/operaomniaedidit10brahuoft/page/n256
p-X-215,X,215,,Venus,observation,GKS 311 folio,"Quarundam Stellarum (Venus reductions, Mar 20)",https://archive.org/details/operaomniaedidit10brahuoft/page/n257
p-X-216,X,216,,Venus,observation,GKS 311 folio,"De Ascensionibus Rectis (Venus reductions, Mar 20–24)",https://archive.org/details/operaomniaedidit10brahuoft/page/n258
p-X-217,X,217,,Venus,observation,GKS 311 folio,"Quarundam Stellarum (Venus reductions, Mar 22)",https://archive.org/details/operaomniaedidit10brahuoft/page/n259
p-X-218,X,218,,Venus,observation,GKS 311 folio,"De Ascensionibus Rectis (Venus reductions, Mar 28)",https://archive.org/details/operaomniaedidit10brahuoft/page/n260
p-X-219,X,219,,Venus,observation,GKS 311 folio,"Quarundam Stellarum (Venus reductions, Apr 3)",https://archive.org/details/operaomniaedidit10brahuoft/page/n261
p-X-220,X,220,,Venus,observation,GKS 311 folio,"De Ascensionibus Rectis (Venus reductions, Apr 3)",https://archive.org/details/operaomniaedidit10brahuoft/page/n262
p-X-221,X,221,,Venus,observation,GKS 311 folio,Quarundam Stellarum (Venus reductions) + Ad Elevationem Aequatoris,https://archive.org/details/operaomniaedidit10brahuoft/page/n263
p-X-222,X,222,,,observation,GKS 311 folio,De Ascensionibus Rectis + summary RA table,https://archive.org/details/operaomniaedidit10brahuoft/page/n264
p-X-223,X,223,,Sun,observation,GKS 311 folio,Quarundam Stellarum: RA summary table + Limitatio ob Refractionem Solarem,https://archive.org/details/operaomniaedidit10brahuoft/page/n265
p-X-225,X,225,,Venus,observation,GKS 311 folio,Quarundam Stellarum (Venus/Aldebaran/Aries-head reductions),https://archive.org/details/operaomniaedidit10brahuoft/page/n267
p-X-226,X,226,,Venus,observation,GKS 311 folio,"De Ascensionibus Rectis (Venus/Aldebaran/Gemini-foot reductions, Mar 5–9)",https://archive.org/details/operaomniaedidit10brahuoft/page/n268
p-X-227,X,227,,Venus,observation,GKS 311 folio,"Quarundam Stellarum (Venus/Aldebaran/Gemini-foot reductions, Mar 9–20)",https://archive.org/details/operaomniaedidit10brahuoft/page/n269
p-X-228,X,228,,Venus,observation,GKS 311 folio,"De Ascensionibus Rectis (Venus reductions, Mar 20 & 28)",https://archive.org/details/operaomniaedidit10brahuoft/page/n270
p-X-229,X,229,,Fixed stars,observation,GKS 311 folio,Quarundam Stellarum: reductions + summary table of Aldebaran RA,https://archive.org/details/operaomniaedidit10brahuoft/page/n271
p-X-230,X,230,1582,Fixed stars,observation,GKS 311 folio,Asc. R. Quarundam Stellarum: summary RA tables (1582),https://archive.org/details/operaomniaedidit10brahuoft/page/n272
p-X-233,X,233,1583,Sun,observation,GKS 311 folio,observations of year 1583: Altitudo Solis by quadrant method (Apr–Jun),https://archive.org/details/operaomniaedidit10brahuoft/page/n275
p-X-234,X,234,1583,,observation,GKS 311 folio,observations of year 1583: solstice examination + altitude tables,https://archive.org/details/operaomniaedidit10brahuoft/page/n276
p-X-235,X,235,1583,,observation,GKS 311 folio,observations of year 1583: altitude tables (Sep–Dec) + Dec solstice,https://archive.org/details/operaomniaedidit10brahuoft/page/n277
p-X-237,X,237,1583,Sun,observation,GKS 311 folio,"Loca Solis (computed solar positions, 1583)",https://archive.org/details/operaomniaedidit10brahuoft/page/n279
p-X-238,X,238,1583,Sun,observation,GKS 311 folio,"Loca Solis (computed solar positions, 1583, cont.)",https://archive.org/details/operaomniaedidit10brahuoft/page/n280
p-X-239,X,239,1583,Sun,observation,GKS 311 folio,"end of Loca Solis + Observationes Lunæ (1583, Jan 21)",https://archive.org/details/operaomniaedidit10brahuoft/page/n281
p-X-244,X,244,1583,Mars,observation,GKS 311 folio,"Observationes (Mars/star distances & altitudes, 1583 Jan)",https://archive.org/details/operaomniaedidit10brahuoft/page/n286
p-X-245,X,245,1583,Mars,observation,GKS 311 folio,"Observationes (Mars distances/altitudes/azimuths, 1583, Jan 19)",https://archive.org/details/operaomniaedidit10brahuoft/page/n287
p-X-247,X,247,1583,Mars,observation,GKS 311 folio,"Observationes (Mars meridian altitudes & distances, 1583, Jan 26–Feb 7)",https://archive.org/details/operaomniaedidit10brahuoft/page/n289
p-X-248,X,248,1583,Mars,observation,GKS 311 folio,"Observationes (Mars distances & transits, 1583, Feb 7–19)",https://archive.org/details/operaomniaedidit10brahuoft/page/n290
p-X-249,X,249,1583,Mars,observation,GKS 311 folio,"Observationes (Mars transits + Mercury, 1583, Feb 21–Mar 14)",https://archive.org/details/operaomniaedidit10brahuoft/page/n291
p-X-255,X,255,1583,Jupiter,observation,GKS 311 folio,"Observationes (Saturn ♄ & Jupiter ♃, 1583, Aug 25–Sep 4)",https://archive.org/details/operaomniaedidit10brahuoft/page/n297
p-X-256,X,256,1583,Jupiter,observation,GKS 311 folio,"Observationes (Saturn ♄ & Jupiter ♃, 1583, Sep 4–5) + comparison table",https://archive.org/details/operaomniaedidit10brahuoft/page/n298
p-X-257,X,257,1583,Jupiter,observation,GKS 311 folio,"Observationes (Saturn ♄ & Jupiter ♃, 1583, Sep 6–9) + comparison table",https://archive.org/details/operaomniaedidit10brahuoft/page/n299
p-X-258,X,258,1583,Jupiter,observation,GKS 311 folio,"Observationes (Saturn ♄ & Jupiter ♃ meridian altitudes, 1583, Sep 10–23)",https://archive.org/details/operaomniaedidit10brahuoft/page/n300
p-X-263,X,263,1583,Jupiter,observation,GKS 311 folio,Saturn latitude triangulation + Jupiter acronychal place (1583),https://archive.org/details/operaomniaedidit10brahuoft/page/n305
p-X-265,X,265,1583,,observation,GKS 311 folio,"Observationes (Orion/Taurus/Gemini fixed-star meridian altitudes, 1583, Jan 22–27)",https://archive.org/details/operaomniaedidit10brahuoft/page/n307
p-X-266,X,266,1583,,observation,GKS 311 folio,"Observationes (Orion/Gemini meridian altitudes + Ratio differentiarum table, 1583)",https://archive.org/details/operaomniaedidit10brahuoft/page/n308
p-X-268,X,268,1583,,observation,GKS 311 folio,"Observationes (fixed-star meridian altitudes, 1583, Feb 19–Mar 9)",https://archive.org/details/operaomniaedidit10brahuoft/page/n310
p-X-270,X,270,1583,,observation,GKS 311 folio,"Observationes (Aquila/Vultur/Pegasus/Aquarius meridian altitudes, 1583, Aug)",https://archive.org/details/operaomniaedidit10brahuoft/page/n312
p-X-279,X,279,1583,Fixed stars,observation,GKS 311 folio,"Capellae distantiae a stellis Cassiopeae (star-distance catalogue, 1583)",https://archive.org/details/operaomniaedidit10brahuoft/page/n321
p-X-287,X,287,1583,Mars,observation,GKS 311 folio,"De Distantia Martis, D. 17 Jan. 1583 (parallax computation)",https://archive.org/details/operaomniaedidit10brahuoft/page/n329
p-X-288,X,288,1583,Mars,observation,GKS 311 folio,"De Distantia Martis, D. 17 Jan. 1583 (parallax computation, cont.)",https://archive.org/details/operaomniaedidit10brahuoft/page/n330
p-X-290,X,290,1584,Sun,observation,GKS 311 folio,observations of year 1584: Altitudo Solis by quadrant method (Mar–Apr),https://archive.org/details/operaomniaedidit10brahuoft/page/n332
p-X-291,X,291,1584,Sun,observation,GKS 311 folio,observations of year 1584: Altitudo Solis by quadrant method (Apr 30–Jun 6),https://archive.org/details/operaomniaedidit10brahuoft/page/n333
p-X-295,X,295,1584,Sun,observation,GKS 311 folio,observations of year 1584: Altitudo Solis by quadrant method (Jul–Sep),https://archive.org/details/operaomniaedidit10brahuoft/page/n337
p-X-298,X,298,1584,Sun,observation,GKS 311 folio,Pole-altitude (Ursa Minor) + Loca Solis position table (1584),https://archive.org/details/operaomniaedidit10brahuoft/page/n340
p-X-299,X,299,1584,Sun,observation,GKS 311 folio,end of Loca Solis (1584) + Observatio Eclipsis Solaris 30 Apr. 1584,https://archive.org/details/operaomniaedidit10brahuoft/page/n341
p-X-300,X,300,1584,Sun,observation,GKS 311 folio,Observatio Eclipsis Solaris 30 Apr. 1584 (timing log),https://archive.org/details/operaomniaedidit10brahuoft/page/n342
p-X-303,X,303,1584,Moon,observation,GKS 311 folio,"Observationes Lunæ (Moon distances/azimuths, 1584, Apr 3–9)",https://archive.org/details/operaomniaedidit10brahuoft/page/n345
p-X-304,X,304,1584,Moon,observation,GKS 311 folio,"Observationes Lunæ (Moon distances/azimuths, 1584, Apr 9–Jun 12)",https://archive.org/details/operaomniaedidit10brahuoft/page/n346
p-X-307,X,307,1584,Moon,observation,GKS 311 folio,Lunar place (9 Sep) + Calculus Plenilunii Ecliptici 1584,https://archive.org/details/operaomniaedidit10brahuoft/page/n349
p-X-317,X,317,1584,Mercury,observation,GKS 311 folio,"Observationes (Mercury/Jupiter star-distances & azimuths, 1584, Mar 2–6)",https://archive.org/details/operaomniaedidit10brahuoft/page/n359
p-X-318,X,318,1584,Mercury,observation,GKS 311 folio,"Observationes (Mercury/Saturn/Jupiter, 1584, Mar 11 & Aug 20–Sep 18)",https://archive.org/details/operaomniaedidit10brahuoft/page/n360
p-X-321,X,321,1584,Jupiter,observation,GKS 311 folio,"Observationes (Jupiter/Saturn star-distances & place, 1584, Oct–Nov)",https://archive.org/details/operaomniaedidit10brahuoft/page/n363
p-X-333,X,333,1584,Fixed stars,observation,GKS 311 folio,"fixed-star distance catalogue (1584, Feb)",https://archive.org/details/operaomniaedidit10brahuoft/page/n375
p-X-334,X,334,1584,Fixed stars,observation,GKS 311 folio,"fixed-star distance catalogue (1584, Mar)",https://archive.org/details/operaomniaedidit10brahuoft/page/n376
p-X-335,X,335,1584,Fixed stars,observation,GKS 311 folio,"fixed-star distance catalogue (1584, Mar 27–Apr 8)",https://archive.org/details/operaomniaedidit10brahuoft/page/n377
p-X-339,X,339,1584,Fixed stars,observation,GKS 311 folio,Pro Differentiis Ascensionum Rectarum quarundam stellarum (1584),https://archive.org/details/operaomniaedidit10brahuoft/page/n381
p-X-340,X,340,1584,,observation,GKS 311 folio,RA-difference triangle computations (1584),https://archive.org/details/operaomniaedidit10brahuoft/page/n382
p-X-341,X,341,1584,,observation,GKS 311 folio,RA-difference triangle computations + Ratio tables (1584),https://archive.org/details/operaomniaedidit10brahuoft/page/n383
p-X-352,X,352,1585,Sun,observation,GKS 311 folio,observations of year 1585: solstice declination of ☉ (Jun 13–15),https://archive.org/details/operaomniaedidit10brahuoft/page/n394
p-X-353,X,353,1585,Sun,observation,GKS 311 folio,observations of year 1585: solar declination & refraction (Jun 16–22),https://archive.org/details/operaomniaedidit10brahuoft/page/n395
p-X-354,X,354,1585,Sun,observation,GKS 311 folio,observations of year 1585: solar declination/altitude (Jun 22–Jul 8),https://archive.org/details/operaomniaedidit10brahuoft/page/n396
p-X-355,X,355,1585,Sun,observation,GKS 311 folio,observations of year 1585: solar meridian altitude by method (Jul 11–Aug 13),https://archive.org/details/operaomniaedidit10brahuoft/page/n397
p-X-356,X,356,1585,Sun,observation,GKS 311 folio,observations of year 1585: solar altitude/declination (Aug 18–Sep 8),https://archive.org/details/operaomniaedidit10brahuoft/page/n398
p-X-357,X,357,1585,Sun,observation,GKS 311 folio,observations of year 1585: solar declination + refraction runs (Sep 8–10),https://archive.org/details/operaomniaedidit10brahuoft/page/n399
p-X-358,X,358,1585,Sun,observation,GKS 311 folio,"refraction analysis + solar declination/altitude (1585, Sep 14–15)",https://archive.org/details/operaomniaedidit10brahuoft/page/n400
p-X-359,X,359,1585,Sun,observation,GKS 311 folio,"solar declination/altitude refraction tables (1585, Sep 15–19)",https://archive.org/details/operaomniaedidit10brahuoft/page/n401
p-X-360,X,360,1585,Sun,observation,GKS 311 folio,"solar declination/altitude refraction tables (1585, Sep 20–21)",https://archive.org/details/operaomniaedidit10brahuoft/page/n402
p-X-363,X,363,1585,Sun,observation,GKS 311 folio,Loca Solis (1585) + start of Observationes Lunæ (Jan 2),https://archive.org/details/operaomniaedidit10brahuoft/page/n405
p-X-364,X,364,1585,Moon,observation,GKS 311 folio,"Observationes Lunæ (Moon distances/transits, 1585, Jan 7–9)",https://archive.org/details/operaomniaedidit10brahuoft/page/n406
p-X-365,X,365,1585,Moon,observation,GKS 311 folio,"Observationes Lunæ (Moon distances/declinations, 1585, Jan 10–Feb 27)",https://archive.org/details/operaomniaedidit10brahuoft/page/n407
p-X-370,X,370,1585,Sun,observation,GKS 311 folio,"simultaneous ☉–☽ distance & declination observations (1585, Sep 6)",https://archive.org/details/operaomniaedidit10brahuoft/page/n412
p-X-371,X,371,1585,Sun,observation,GKS 311 folio,"simultaneous ☉–☽ distance & declination observations (1585, Sep 6 cont. & Sep 10)",https://archive.org/details/operaomniaedidit10brahuoft/page/n413
p-X-372,X,372,1585,Moon,observation,GKS 311 folio,"Observationes Lunæ (Moon distances/declinations, 1585, Sep 18–22)",https://archive.org/details/operaomniaedidit10brahuoft/page/n414
p-X-373,X,373,1585,Sun,observation,GKS 311 folio,"Observationes Lunæ + ☉–☽ (1585, Sep 23–Nov 6); assistants Cellius & Joannes",https://archive.org/details/operaomniaedidit10brahuoft/page/n415
p-X-374,X,374,1585,Sun,observation,GKS 311 folio,"☉–☽ distance/declination logs (1585, Nov 6–7)",https://archive.org/details/operaomniaedidit10brahuoft/page/n416
p-X-375,X,375,1585,Sun,observation,GKS 311 folio,"☉–☽ distance/declination logs (1585, Nov 7–9)",https://archive.org/details/operaomniaedidit10brahuoft/page/n417
p-X-376,X,376,1585,Moon,observation,GKS 311 folio,"Observationes Lunæ (Moon distances/declinations, 1585, Nov 21–24)",https://archive.org/details/operaomniaedidit10brahuoft/page/n418
p-X-377,X,377,1585,Moon,observation,GKS 311 folio,"Observationes Lunæ (Moon distances/declinations, 1585, Nov 24–Dec 25)",https://archive.org/details/operaomniaedidit10brahuoft/page/n419
p-X-382,X,382,1585,,observation,GKS 311 folio,"Observationes reliquorum quinque planetarum (1585, Jan 2–7)",https://archive.org/details/operaomniaedidit10brahuoft/page/n424
p-X-383,X,383,1585,,observation,GKS 311 folio,"Observationes planetarum (1585, Jan 8–15)",https://archive.org/details/operaomniaedidit10brahuoft/page/n425
p-X-384,X,384,1585,Mars,observation,GKS 311 folio,"Observationes planetarum (Mars, 1585, Jan 15–22) + Mars place",https://archive.org/details/operaomniaedidit10brahuoft/page/n426
p-X-385,X,385,1585,Mars,observation,GKS 311 folio,"Observationes planetarum (Mars, 1585, Jan 21–22); assistant Elcheus Bilde",https://archive.org/details/operaomniaedidit10brahuoft/page/n427
p-X-386,X,386,1585,Mars,observation,GKS 311 folio,"Observationes planetarum (Mars, 1585, Jan 22–23) + Examen Motus ♂",https://archive.org/details/operaomniaedidit10brahuoft/page/n428
p-X-387,X,387,1585,Mars,observation,GKS 311 folio,"Observationes planetarum (Mars, 1585, Jan 24) + Mars place",https://archive.org/details/operaomniaedidit10brahuoft/page/n429
p-X-388,X,388,1585,Mars,observation,GKS 311 folio,"Mars place determinations (1585, Jan 22–31)",https://archive.org/details/operaomniaedidit10brahuoft/page/n430
p-X-389,X,389,1585,Mars,observation,GKS 311 folio,"Mars distances & place (1585, Feb 3–4)",https://archive.org/details/operaomniaedidit10brahuoft/page/n431
p-X-392,X,392,1585,Mars,observation,GKS 311 folio,"Mars place + planetary distances (1585, Feb 19–22)",https://archive.org/details/operaomniaedidit10brahuoft/page/n434
p-X-393,X,393,1585,,observation,GKS 311 folio,"planetary distances/place (1585, Feb 21–Mar 4); ""Cornelio"" Horol.",https://archive.org/details/operaomniaedidit10brahuoft/page/n435
p-X-394,X,394,1585,Venus,observation,GKS 311 folio,"planetary distances + Jupiter/Venus place (1585, Mar 5–9)",https://archive.org/details/operaomniaedidit10brahuoft/page/n436
p-X-395,X,395,1585,,observation,GKS 311 folio,"planetary distances/place (1585, Mar 6–12)",https://archive.org/details/operaomniaedidit10brahuoft/page/n437
p-X-396,X,396,1585,Mars,observation,GKS 311 folio,"Mars stationary-point observations (1585, Mar 12–14)",https://archive.org/details/operaomniaedidit10brahuoft/page/n438
p-X-397,X,397,1585,Mars,observation,GKS 311 folio,"Mars place determinations (1585, Mar 16–19) with ephemeris comparison",https://archive.org/details/operaomniaedidit10brahuoft/page/n439
p-X-398,X,398,1585,Mars,observation,GKS 311 folio,"Mars/Venus observations & place (1585, Mar 25–Apr 15)",https://archive.org/details/operaomniaedidit10brahuoft/page/n440
p-X-399,X,399,1585,Mars,observation,GKS 311 folio,"Mars place + Venus RA determination (1585, Apr 15–27)",https://archive.org/details/operaomniaedidit10brahuoft/page/n441
p-X-400,X,400,1585,Venus,observation,GKS 311 folio,"Venus place + ephemeris computation (1585, May 6–7)",https://archive.org/details/operaomniaedidit10brahuoft/page/n442
p-X-401,X,401,1585,Mars,observation,GKS 311 folio,"Venus/Mars distances & declinations (1585, May 7–17)",https://archive.org/details/operaomniaedidit10brahuoft/page/n443
p-X-402,X,402,1585,Mars,observation,GKS 311 folio,"Mars place + clear-sky underground-observatory obs. (1585, May 18 & Sep 14)",https://archive.org/details/operaomniaedidit10brahuoft/page/n444
p-X-403,X,403,1585,,observation,GKS 311 folio,"underground-observatory obs. (1585, Sep 14–15)",https://archive.org/details/operaomniaedidit10brahuoft/page/n445
p-X-404,X,404,1585,Venus,observation,GKS 311 folio,"Sun/Jupiter/Venus observations (1585, Sep 14, 20–21)",https://archive.org/details/operaomniaedidit10brahuoft/page/n446
p-X-405,X,405,1585,Venus,observation,GKS 311 folio,"Saturn/Venus/Sun observations (1585, Sep 21–23, dawn)",https://archive.org/details/operaomniaedidit10brahuoft/page/n447
p-X-406,X,406,1585,Venus,observation,GKS 311 folio,"Saturn/Venus distances + Venus place at max morning elongation (1585, Sep 23)",https://archive.org/details/operaomniaedidit10brahuoft/page/n448
p-X-407,X,407,1585,Venus,observation,GKS 311 folio,"Venus apogee/eccentricity note + Saturn obs. (1585, Oct 5–10)",https://archive.org/details/operaomniaedidit10brahuoft/page/n449
p-X-409,X,409,1585,Venus,observation,GKS 311 folio,"Saturn acronychal place + Saturn/Jupiter/Venus obs. (1585, Sep 23–Oct 11)",https://archive.org/details/operaomniaedidit10brahuoft/page/n451
p-X-410,X,410,1585,Venus,observation,GKS 311 folio,"Venus place + Saturn/Venus obs. (1585, Oct 11–Nov 7)",https://archive.org/details/operaomniaedidit10brahuoft/page/n452
p-X-411,X,411,1585,Venus,observation,GKS 311 folio,"Saturn/Venus/Mercury distances & declinations (1585, Nov 7–15)",https://archive.org/details/operaomniaedidit10brahuoft/page/n453
p-X-412,X,412,1585,Mercury,observation,GKS 311 folio,"Mercury place + Saturn distances (1585, Nov 15–21)",https://archive.org/details/operaomniaedidit10brahuoft/page/n454
