no,key,title,title_en,form,date,certainty,period,channel,language,addressees,printed,nielsen,tboo,sections,extent,textual_notes,commentary,persons,status,grade,text
22,brahe-t_diarii-astrologici-et-meteorologici-praefatio,Diarii astrologici et meteorologici anni 1586 præfationis adumbratio,Sketch of a preface for the astrological and meteorological diary for 1586,Preface,1586,probable,hven,manuscript,la,"Christian, prince (Christian IV)",first_printed_in_tboo,"No Nielsen entry, and none is possible: Nielsen catalogues printed books, and this draft was never printed. The book it was drafted for is in Nielsen's Uraniborg bibliography under Morsing's name — 'Diarium astrologicum et metheorologicum anni a nato Christo 1586... per Eliam Olai Cimbrum... Excusum in Officina VRANIBVRGICA', 4to, 30 leaves, colophon 'IMPRESSVM VRANIBVRGI IN INSVLA CELEBRIS PORTHMI DANICI HVAENA', no printing year on the title (Nielsen, Tycho Brahes Bogtrykkeri paa Hveen, 1921, pp. 186–187; three copies at KB Copenhagen, one with an autograph dedication from Tycho to the Schleswig pastor Albert Meier). Nielsen enters the book under Morsing rather than under Brahe.",IX 149–150,1,7 ¶ · 1 §,0,0,0,researched,A,scripta/texts/brahe-t_diarii-astrologici-et-meteorologici-praefatio.html
23,brahe-t_inscriptiones-croneburgenses,Inscriptiones Croneburgensis,Inscriptions from Kronborg,Inscription,c. 1586,uncertain,hven,posthumous,la,Frederik II,printed_posthumously,none — no Nielsen number,IX 190–191,1,26 lines · 1 §,1,0,0,researched,B,scripta/texts/brahe-t_inscriptiones-croneburgenses.html
24,brahe-t_4-epigrammer,Fire epigrammer ved Frederik II's død,Four epigrams on the death of Frederick II,Epigram,1588,edition,hven,,la,Frederik II,not_yet_researched,,IX 192,1,26 lines · 1 §,0,0,0,not_yet_researched,,scripta/texts/brahe-t_4-epigrammer.html
25,brahe-t_apologetica-responsio,Apologetica responsio ad Craigum Scotum de cometis,Apologetic reply to the Scot Craig concerning comets,Treatise,1589,secure,hven,separate,la,John Craig,printed_in_lifetime,"none — Nielsen assigns no Dansk Bibliografi number, because no copy survives; the printing is established in his 'Tycho Brahes Bogtrykkeri paa Hveen' (1921), pp. 193–195",IV 417–476,1,45 ¶ · 1 §,189,0,0,researched,B,scripta/texts/brahe-t_apologetica-responsio.html
26,brahe-t_de-classe-hispaniae,De classe Hispaniæ,On the Spanish fleet,Translation,1589,edition,hven,,la,James VI of Scotland,not_yet_researched,,IX 192,1,13 lines · 1 §,0,0,0,not_yet_researched,,scripta/texts/brahe-t_de-classe-hispaniae.html
27,brahe-t_elixir-pestilentiale,Elixir pestilentiale,Plague elixir,Recipe,1590,probable,hven,manuscript,la,,not_yet_researched,,IX 166–167,1,3 ¶ · 1 §,0,0,0,not_yet_researched,,scripta/texts/brahe-t_elixir-pestilentiale.html
28,brahe-t_flemloese-indl,Forord til Flemløses En Elementisch oc Jordisch Astrologia,Preface to Flemløse's An Elemental and Earthly Astrology,Preface,1591,probable,hven,others,tycho_da,Peder Jacobsen Flemløs,not_yet_researched,,,2,17 ¶ · 2 §,4,0,0,not_yet_researched,,scripta/texts/brahe-t_flemloese-indl.html
29,brahe-t_triangulorum-praxis-arithmetica,Triangulorum planorum et sphæricorum praxis arithmetica,The arithmetical practice of plane and spherical triangles,Treatise,1591,probable,hven,manuscript,la,,not_yet_researched,,I 283–291,3,83 ¶ · 3 §,20,0,0,not_yet_researched,,scripta/texts/brahe-t_triangulorum-praxis-arithmetica.html
30,brahe-t_apologetica-responsio-additamenta,Additamenta ad apologeticam responsionem ad Craigum Scotum,Additions to the apologetic reply to the Scot Craig,Supplement,1592–1601,uncertain,hven,manuscript,la,John Craig,first_printed_in_tboo,,IX 153–157,1,5 ¶ · 1 §,0,0,0,researched,B,scripta/texts/brahe-t_apologetica-responsio-additamenta.html
31,brahe-t_papirmoelle,Indskrift fra papirmøllen på Hven,Inscription from the paper mill on Hven,Inscription,1592,edition,hven,,la,,not_yet_researched,,VI 365,1,8 lines · 1 §,2,0,0,not_yet_researched,,scripta/texts/brahe-t_papirmoelle.html
32,brahe-t_iudicis-est-aequi,Iudicis est æqui,It is the part of a just judge,Epigram,1592,probable,hven,posthumous,la,"Lauge Beck, judge",printed_posthumously,,IX 192,1,9 lines · 1 §,0,0,0,researched,A,scripta/texts/brahe-t_iudicis-est-aequi.html
33,brahe-t_in-nic-cragii-remp-lac,In Nicolai Cragii Rempublicam Lacedæmoniorum,On Niels Krag's Republic of the Lacedaemonians,Epigram,1593,probable,hven,others,la,Niels Krag,not_yet_researched,,IX 193,1,6 lines · 1 §,1,0,0,not_yet_researched,,scripta/texts/brahe-t_in-nic-cragii-remp-lac.html
34,brahe-t_occasio-et-argumentum.da,Anledning og synopse til det efterfølgende dansksprogede brev,Occasion and synopsis of the following letter in Danish,Preface,c. 1594,probable,hven,manuscript,da_only,Sophie Brahe; Erik Lange,not_yet_researched,,,1,13 ¶ · 1 §,0,0,0,not_yet_researched,,scripta/texts/brahe-t_occasio-et-argumentum.da.html
35,brahe-t_urania-titani,Urania Titani,Urania to Titan,Verse epistle,1594,edition,hven,manuscript,la_da,"Erik Lange, as Titan; Sophie Brahe, as Urania",not_yet_researched,,IX 193–207,1,13 lines · 1 §,126,523,0,not_yet_researched,,scripta/texts/brahe-t_urania-titani.html
36,brahe-t_epistolae-astronomicae,Epistolae astronomicae,Astronomical letters,Printed correspondence,1596,probable,hven,book,la,"Moritz, Landgrave of Hesse; Wilhelm IV, Landgrave of Hesse; Christoph Rothmann",not_yet_researched,,VI 4–341,84,290 ¶ · 84 §,1164,1,0,not_yet_researched,,scripta/texts/brahe-t_epistolae-astronomicae.html
37,brahe-t_epistolae-astr-2-praefatio,Forord til Epistolae Astronomicae vol. II,"Preface to Epistolae astronomicae, volume II",Preface,1596,edition,hven,manuscript,la,Thaddaeus Hagecius; Jerónimo Muñoz,not_yet_researched,,VII 395–403,5,24 ¶ · 5 §,1,0,1,not_yet_researched,,scripta/texts/brahe-t_epistolae-astr-2-praefatio.html
38,brahe-t_observationes-geographicae,Observationes geographicae,Geographical observations,Survey,1598 (the edition),edition,hven,manuscript,la,,not_yet_researched,,V 294–300,1,0 ¶ · 1 §,0,0,0,not_yet_researched,,scripta/texts/brahe-t_observationes-geographicae.html
39,brahe-t_ad-daniam-elegia-2,Ad Daniam elegia,Elegy to Denmark,Elegy,1597,secure,exile,posthumous,la,"Denmark, personified; Henrik Rantzau",printed_posthumously,none — no printing of the elegy is recorded among Tycho's printed works,IX 208–211,1,113 lines · 1 §,6,0,1,researched,A,scripta/texts/brahe-t_ad-daniam-elegia-2.html
40,brahe-t_ad-daniam-elegia-1,Ad Daniam elegia (fra observationsprotokollen),Elegy to Denmark (from the observation protocol),Elegy,1597,secure,exile,manuscript,la_da,"Denmark, personified",printed_posthumously,,XIII 101–104,1,161 lines · 1 §,0,0,0,researched,A,scripta/texts/brahe-t_ad-daniam-elegia-1.html
41,brahe-t_ad-martinum-braschium,Ad Martinum Braschium,To Martin Brasch,Epigram,1597,probable,exile,manuscript,la,Martin Brasch,first_printed_in_tboo,,IX 208,1,8 lines · 1 §,0,0,0,researched,B,scripta/texts/brahe-t_ad-martinum-braschium.html
42,brahe-t_medicamenta-henr-ranz,Medicamenta tria cum Henrico Ranzovio communicata,Three remedies shared with Heinrich Rantzau,Recipe,1597,probable,exile,manuscript,la,Henrik Rantzau,not_yet_researched,,IX 161–166,1,15 ¶ · 1 §,119,0,0,not_yet_researched,,scripta/texts/brahe-t_medicamenta-henr-ranz.html
43,brahe-t_ante-stellas-restitutas,Ante stellas restitutas,Before the restored stars,Poem,1598,edition,exile,manuscript,la,"Rudolf II; Matthias, Archduke of Austria",not_yet_researched,,IX 212,1,14 lines · 1 §,2,0,0,not_yet_researched,,scripta/texts/brahe-t_ante-stellas-restitutas.html
44,brahe-t_mechanica,Astronomiæ instauratæ mechanica,Instruments of the renewed astronomy,Treatise,1598,edition,exile,book,la_da,Rudolf II,not_yet_researched,,V 3–162,35,201 ¶ · 35 §,90,0,0,not_yet_researched,,scripta/texts/brahe-t_mechanica.html
45,brahe-t_in-librum-de-mechanicis,In librum Tychonis Brahei de Mechanicis astronomiæ,On Tycho Brahe's book on the instruments of astronomy,Poem,1598,probable,exile,manuscript,la,Rudolf II,not_yet_researched,,IX 211–212,1,14 lines · 1 §,4,0,0,not_yet_researched,,scripta/texts/brahe-t_in-librum-de-mechanicis.html
46,brahe-t_in-solis-et-lunae-motus,In solis et lunæ motus restitutos ac sequens diarium prolegomena,Prolegomena to the restored motions of the sun and moon and the ephemeris that follows,Preface,1598,edition,exile,,la,Rudolf II,not_yet_researched,,V 165–189,2,35 ¶ · 2 §,303,0,0,not_yet_researched,,scripta/texts/brahe-t_in-solis-et-lunae-motus.html
47,brahe-t_per-varios-casus,Per varios casus,Through various mishaps,Poem,1598,probable,exile,,la,,not_yet_researched,,IX 212,1,4 lines · 1 §,0,0,0,not_yet_researched,,scripta/texts/brahe-t_per-varios-casus.html
48,brahe-t_sub-pyramide,Sub pyramide tegumento quodam cooperta,Beneath a pyramid covered with a kind of covering,Epigram,1598,probable,exile,,la,,not_yet_researched,,IX 211,1,3 lines · 1 §,0,0,0,not_yet_researched,,scripta/texts/brahe-t_sub-pyramide.html
49,brahe-t_ad-daniam-epigramma,Ad Daniam epigramma,Epigram to Denmark,Epigram,1599,probable,exile,,la,"Denmark, personified; Rudolf II",not_yet_researched,,IX 214,1,14 lines · 1 §,0,0,0,not_yet_researched,,scripta/texts/brahe-t_ad-daniam-epigramma.html
50,brahe-t_ad-daniam-excusatio,Ad Daniam et Danos integros excusatio,Apology to Denmark and the blameless Danes,Elegy,1599,edition,exile,,la,"Denmark, personified; Christian IV",not_yet_researched,,IX 213,1,19 lines · 1 §,0,0,0,not_yet_researched,,scripta/texts/brahe-t_ad-daniam-excusatio.html
51,brahe-t_dania-ad-tychonem,Dania ad Tychonem Braheum suum alumnum,"Denmark to Tycho Brahe, her foster-son",Elegy,1599,edition,exile,,la,"Tycho Brahe; Denmark, personified",not_yet_researched,,IX 213–214,1,19 lines · 1 §,2,0,0,not_yet_researched,,scripta/texts/brahe-t_dania-ad-tychonem.html
52,brahe-t_disce-puer,Disce puer virtutem,"Learn virtue, boy",Epigram,1599,probable,exile,manuscript,la,"Tyge Brahe, his first-born son",not_yet_researched,,,1,3 lines · 1 §,0,0,0,not_yet_researched,,scripta/texts/brahe-t_disce-puer.html
53,brahe-t_medicamentum-imp-rudolfi,Medicamentum in usum Imperatoris Rudolfi II,A remedy for the use of Emperor Rudolf II,Recipe,1599,probable,exile,manuscript,la,Rudolf II,not_yet_researched,,IX 168–169,1,9 ¶ · 1 §,0,0,0,not_yet_researched,,scripta/texts/brahe-t_medicamentum-imp-rudolfi.html
54,brahe-t_supra-januam-novi-laboratorii,Supra januam novi laboratorii in eadem arce Benatica,Over the door of the new laboratory in the same castle of Benátky,Inscription,c. 1599,probable,exile,,la,,not_yet_researched,,IX 214–215,1,9 lines · 1 §,3,0,0,not_yet_researched,,scripta/texts/brahe-t_supra-januam-novi-laboratorii.html
55,brahe-t_supra-januam-observatorii,Supra januam observatorii in arce Cæsareana Bennatica,Over the door of the observatory in the imperial castle of Benátky,Inscription,c. 1599,probable,exile,,la,,not_yet_researched,,IX 214,1,9 lines · 1 §,2,0,0,not_yet_researched,,scripta/texts/brahe-t_supra-januam-observatorii.html
56,brahe-t_calculi-de-obliquitate-eclipticae,Calculi de obliquitate eclipticæ,Calculations on the obliquity of the ecliptic,Working notes,1600,probable,exile,manuscript,la,,not_yet_researched,,V 228–229,1,12 ¶ · 1 §,0,0,0,not_yet_researched,,scripta/texts/brahe-t_calculi-de-obliquitate-eclipticae.html
57,brahe-t_quamvis-mortalis,Quamvis mortalis,Although mortal,Poem,undated,edition,undated,,la,,not_yet_researched,,IX 215,1,8 lines · 1 §,3,0,0,not_yet_researched,,scripta/texts/brahe-t_quamvis-mortalis.html
